qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	query_start	query_end	subject_start	subject_end	query_contig	subject_contig
gene_11_contig_154940	gene_27_786772955	56.167	454	181	5	6	451	10	453	0.0	521.0	10795	12159	31615	33009	contig_154940	786772955
gene_11_contig_154940	gene_67_778722464	59.08	413	168	1	39	450	41	453	0.0	518.0	10795	12159	52407	53801	contig_154940	778722464
gene_11_contig_154940	gene_7_775118401_ext	56.776	428	171	4	35	451	40	464	2.35e-178	504.0	10795	12159	5748	7172	contig_154940	775118401_ext
gene_11_contig_154940	gene_8_contig_172037	56.092	435	171	4	33	451	54	484	8.51e-177	500.0	10795	12159	8569	10050	contig_154940	contig_172037
gene_11_contig_172037	gene_64_contig_155057	60.221	181	66	4	130	307	290	467	3.61e-64	218.0	11415	12869	37315	39711	contig_172037	contig_155057
gene_11_contig_172037	gene_64_contig_155057	50.847	177	67	8	301	463	607	777	8.25e-36	137.0	11415	12869	37315	39711	contig_172037	contig_155057
gene_12_775118401_ext	gene_20_786772955	53.175	126	53	5	16	135	19	144	1.04e-37	121.0	11519	11935	26486	26920	775118401_ext	786772955
gene_12_786772955	gene_3_778722464	65.354	127	35	2	1	127	1	118	8.8e-38	120.0	13963	14364	1154	1510	786772955	778722464
gene_12_786772955	gene_22_775118401_ext	56.693	127	47	2	1	127	1	119	2.32e-34	112.0	13963	14364	24534	24896	786772955	775118401_ext
gene_12_contig_154940	gene_73_contig_155057	73.684	76	20	0	4	79	2	77	6.45e-41	125.0	12159	12413	44932	45180	contig_154940	contig_155057
gene_12_contig_172037	gene_10_766270197_ext	52.98	151	58	3	2	150	1	140	9.48e-45	140.0	12881	13333	9833	10255	contig_172037	766270197_ext
gene_12_contig_172037	gene_65_contig_155057	52.0	150	60	1	1	150	1	138	1.09e-44	139.0	12881	13333	39713	40129	contig_172037	contig_155057
gene_12_contig_172037	gene_72_778722464	51.724	145	67	2	9	150	6	150	2.17e-40	129.0	12881	13333	57554	58006	contig_172037	778722464
gene_13_775118401_ext	gene_14_766270197_ext	75.177	141	33	2	1	140	1	140	4.09e-71	206.0	11919	12353	11990	12421	775118401_ext	766270197_ext
gene_13_775118401_ext	gene_19_786772955	58.865	141	54	2	3	141	17	155	2.04e-53	162.0	11919	12353	25994	26464	775118401_ext	786772955
gene_13_775118401_ext	gene_75_778722464	65.079	126	44	0	1	126	1	126	3.01e-53	160.0	11919	12353	59463	59852	775118401_ext	778722464
gene_13_775118401_ext	gene_69_contig_155057	60.156	128	49	1	1	126	1	128	5.35e-50	152.0	11919	12353	42057	42449	775118401_ext	contig_155057
gene_13_775118401_ext	gene_15_contig_172037	55.906	127	54	1	1	125	2	128	2.33e-45	141.0	11919	12353	14761	15213	775118401_ext	contig_172037
gene_13_775118401_ext	gene_19_contig_154940	53.846	130	55	2	1	125	1	130	9.66e-43	134.0	11919	12353	17344	17742	775118401_ext	contig_154940
gene_13_778722464	gene_35_contig_154940	54.286	315	136	4	21	332	2	311	2.67e-120	345.0	16996	17997	36643	37584	778722464	contig_154940
gene_13_786772955	gene_17_766270197_ext	75.0	52	13	0	9	60	4	55	2.44e-26	87.0	14365	14553	14722	14892	786772955	766270197_ext
gene_13_786772955	gene_21_775118401_ext	76.923	52	12	0	9	60	4	55	5.36e-26	86.3	14365	14553	24361	24528	786772955	775118401_ext
gene_13_contig_154940	gene_6_766270197_ext	61.616	99	38	0	11	109	8	106	7.22e-44	136.0	12448	12855	5658	6011	contig_154940	766270197_ext
gene_13_contig_172037	gene_66_contig_155057	63.754	309	98	3	8	303	2	309	2.88e-142	399.0	13350	14261	40160	41092	contig_172037	contig_155057
gene_13_contig_172037	gene_11_766270197_ext	63.607	305	106	2	3	303	1	304	9.2e-140	393.0	13350	14261	10260	11180	contig_172037	766270197_ext
gene_13_contig_172037	gene_21_786772955	63.279	305	106	3	3	303	1	303	2.02e-139	392.0	13350	14261	26938	27855	contig_172037	786772955
gene_13_contig_172037	gene_73_778722464	61.279	297	114	1	8	303	2	298	2.67e-134	379.0	13350	14261	58016	58918	contig_172037	778722464
gene_13_contig_172037	gene_16_contig_154940	58.553	304	124	2	1	303	1	303	3.66e-134	379.0	13350	14261	15825	16742	contig_172037	contig_154940
gene_13_contig_172037	gene_11_775118401_ext	62.338	308	105	3	6	303	1	307	1.23e-133	377.0	13350	14261	10587	11513	contig_172037	775118401_ext
gene_14_766270197_ext	gene_13_775118401_ext	75.177	141	33	2	1	140	1	140	4.06e-71	206.0	11990	12421	11919	12353	766270197_ext	775118401_ext
gene_14_766270197_ext	gene_19_786772955	64.748	139	47	2	3	140	17	154	2.35e-60	179.0	11990	12421	25994	26464	766270197_ext	786772955
gene_14_766270197_ext	gene_75_778722464	62.205	127	47	1	1	127	1	126	6.94e-50	152.0	11990	12421	59463	59852	766270197_ext	778722464
gene_14_766270197_ext	gene_69_contig_155057	56.25	128	55	1	1	127	1	128	1.96e-44	138.0	11990	12421	42057	42449	766270197_ext	contig_155057
gene_14_766270197_ext	gene_15_contig_172037	56.693	127	54	1	1	126	2	128	2.48e-44	139.0	11990	12421	14761	15213	766270197_ext	contig_172037
gene_14_766270197_ext	gene_19_contig_154940	52.308	130	58	2	1	126	1	130	7.34e-42	132.0	11990	12421	17344	17742	766270197_ext	contig_154940
gene_14_contig_154940	gene_10_contig_172037	58.287	362	93	6	1	356	1	310	8.7e-130	387.0	12862	15396	10478	11410	contig_154940	contig_172037
gene_14_contig_154940	gene_9_775118401_ext	51.88	133	41	3	253	379	14	129	9.52e-34	134.0	12862	15396	8245	10170	contig_154940	775118401_ext
gene_14_contig_154940	gene_64_contig_155057	73.026	152	37	1	105	256	470	617	3.42e-65	229.0	12862	15396	37315	39711	contig_154940	contig_155057
gene_14_contig_154940	gene_64_contig_155057	62.281	114	43	0	236	349	25	138	2.31e-38	149.0	12862	15396	37315	39711	contig_154940	contig_155057
gene_15_786772955	gene_1_778722464	72.678	183	46	1	5	183	1	183	8.49e-102	287.0	14964	15515	3	554	786772955	778722464
gene_15_contig_154940	gene_10_766270197_ext	51.493	134	61	2	6	135	7	140	2.52e-40	128.0	15404	15811	9833	10255	contig_154940	766270197_ext
gene_15_contig_172037	gene_13_775118401_ext	55.906	127	54	1	2	128	1	125	2.42e-45	141.0	14761	15213	11919	12353	contig_172037	775118401_ext
gene_15_contig_172037	gene_14_766270197_ext	56.693	127	54	1	2	128	1	126	2.6e-44	139.0	14761	15213	11990	12421	contig_172037	766270197_ext
gene_15_contig_172037	gene_75_778722464	55.118	127	55	1	2	128	1	125	2.09e-43	136.0	14761	15213	59463	59852	contig_172037	778722464
gene_16_786772955	gene_69_778722464	60.396	101	40	0	1	101	1	101	3.92e-43	132.0	15508	15813	54279	54584	786772955	778722464
gene_16_contig_154940	gene_73_778722464	75.0	300	75	0	6	305	1	300	2.12e-175	483.0	15825	16742	58016	58918	contig_154940	778722464
gene_16_contig_154940	gene_66_contig_155057	63.987	311	97	3	6	303	1	309	2.73e-147	412.0	15825	16742	40160	41092	contig_154940	contig_155057
gene_16_contig_154940	gene_21_786772955	63.279	305	106	2	3	303	1	303	6.98e-142	399.0	15825	16742	26938	27855	contig_154940	786772955
gene_16_contig_154940	gene_11_766270197_ext	62.866	307	108	2	3	305	2	306	1.21e-141	398.0	15825	16742	10260	11180	contig_154940	766270197_ext
gene_16_contig_154940	gene_11_775118401_ext	59.609	307	112	3	7	303	3	307	3.04e-135	382.0	15825	16742	10587	11513	contig_154940	775118401_ext
gene_16_contig_154940	gene_13_contig_172037	58.553	304	124	2	1	303	1	303	3.68e-134	379.0	15825	16742	13350	14261	contig_154940	contig_172037
gene_16_contig_172037	gene_70_contig_155057	64.615	65	21	1	426	490	610	672	2.83e-17	80.5	15219	16691	42460	44478	contig_172037	contig_155057
gene_17_766270197_ext	gene_21_775118401_ext	83.636	55	9	0	1	55	1	55	1.03e-29	95.5	14722	14892	24361	24528	766270197_ext	775118401_ext
gene_17_766270197_ext	gene_13_786772955	75.0	52	13	0	4	55	9	60	2.2e-26	87.0	14722	14892	14365	14553	766270197_ext	786772955
gene_17_766270197_ext	gene_71_contig_155057	76.471	51	12	0	3	53	4	54	5.09e-26	85.9	14722	14892	44490	44660	766270197_ext	contig_155057
gene_17_778722464	gene_38_contig_154940	51.872	748	353	5	1	747	1	742	0.0	788.0	19359	21602	39097	41325	778722464	contig_154940
gene_17_778722464	gene_35_766270197_ext	52.255	754	333	10	1	747	5	738	0.0	785.0	19359	21602	33137	35353	778722464	766270197_ext
gene_17_778722464	gene_40_775118401_ext	51.19	756	351	8	1	747	1	747	0.0	767.0	19359	21602	45512	47755	778722464	775118401_ext
gene_17_786772955	gene_77_778722464	50.49	204	98	3	592	793	100	302	3.74e-25	110.0	16114	24711	61135	65397	786772955	778722464
gene_17_contig_155057	gene_43_766270197_ext	53.435	131	61	0	1	131	22	152	1.57e-52	159.0	11364	11771	40473	40937	contig_155057	766270197_ext
gene_19_766270197_ext	gene_9_786772955	75.281	178	44	0	1	178	1	178	2.35e-99	280.0	15145	15681	13039	13575	766270197_ext	786772955
gene_19_766270197_ext	gene_4_778722464	70.391	179	52	1	1	178	1	179	6.27e-91	259.0	15145	15681	1521	2060	766270197_ext	778722464
gene_19_766270197_ext	gene_19_contig_172037	70.0	180	52	1	1	178	13	192	1.61e-90	259.0	15145	15681	17278	17856	766270197_ext	contig_172037
gene_19_766270197_ext	gene_74_contig_155057	74.545	165	42	0	14	178	1	165	1.81e-89	255.0	15145	15681	45332	45829	766270197_ext	contig_155057
gene_19_766270197_ext	gene_24_contig_154940	51.397	179	79	4	4	175	2	179	6.37e-54	166.0	15145	15681	20464	21009	766270197_ext	contig_154940
gene_19_766270197_ext	gene_24_775118401_ext	59.794	97	39	0	1	97	1	97	7.5e-37	126.0	15145	15681	25037	26044	766270197_ext	775118401_ext
gene_19_766270197_ext	gene_24_775118401_ext	59.74	77	27	2	100	176	261	333	2.9e-22	87.8	15145	15681	25037	26044	766270197_ext	775118401_ext
gene_19_778722464	gene_44_contig_154940	53.583	321	136	5	3	312	8	326	5.41e-122	350.0	22949	23944	43629	44609	778722464	contig_154940
gene_19_778722464	gene_7_contig_155057	51.274	314	147	4	2	313	1	310	1.5e-115	333.0	22949	23944	5009	5944	778722464	contig_155057
gene_19_778722464	gene_37_contig_172037	50.318	314	145	5	2	311	1	307	2.08e-110	320.0	22949	23944	41127	42050	778722464	contig_172037
gene_19_786772955	gene_14_766270197_ext	64.748	139	47	2	17	154	3	140	2.56e-60	179.0	25994	26464	11990	12421	786772955	766270197_ext
gene_19_786772955	gene_13_775118401_ext	58.865	141	54	2	17	155	3	141	2.21e-53	162.0	25994	26464	11919	12353	786772955	775118401_ext
gene_19_786772955	gene_19_contig_154940	52.941	119	56	0	15	133	4	122	6.97e-41	130.0	25994	26464	17344	17742	786772955	contig_154940
gene_19_contig_154940	gene_75_778722464	56.452	124	52	2	7	130	4	125	8.6e-44	136.0	17344	17742	59463	59852	contig_154940	778722464
gene_19_contig_154940	gene_13_775118401_ext	53.846	130	55	2	1	130	1	125	8.86e-43	134.0	17344	17742	11919	12353	contig_154940	775118401_ext
gene_19_contig_154940	gene_14_766270197_ext	52.308	130	58	2	1	130	1	126	6.77e-42	132.0	17344	17742	11990	12421	contig_154940	766270197_ext
gene_19_contig_154940	gene_19_786772955	52.941	119	56	0	4	122	15	133	5.9e-41	130.0	17344	17742	25994	26464	contig_154940	786772955
gene_19_contig_172037	gene_4_778722464	73.889	180	46	1	13	192	1	179	3.75e-96	273.0	17278	17856	1521	2060	contig_172037	778722464
gene_19_contig_172037	gene_19_766270197_ext	70.0	180	52	1	13	192	1	178	1.74e-90	259.0	17278	17856	15145	15681	contig_172037	766270197_ext
gene_19_contig_172037	gene_74_contig_155057	74.251	167	41	1	26	192	1	165	5.7e-88	252.0	17278	17856	45332	45829	contig_172037	contig_155057
gene_19_contig_172037	gene_9_786772955	67.778	180	56	1	13	192	1	178	9.75e-88	252.0	17278	17856	13039	13575	contig_172037	786772955
gene_19_contig_172037	gene_24_contig_154940	53.846	182	72	4	16	189	2	179	4.6e-56	171.0	17278	17856	20464	21009	contig_172037	contig_154940
gene_19_contig_172037	gene_24_775118401_ext	59.794	97	39	0	13	109	1	97	1.39e-38	131.0	17278	17856	25037	26044	contig_172037	775118401_ext
gene_19_contig_172037	gene_24_775118401_ext	59.494	79	26	2	112	190	261	333	1.76e-24	94.4	17278	17856	25037	26044	contig_172037	775118401_ext
gene_1_766270197_ext	gene_4_775118401_ext	72.098	491	135	2	1	491	9	497	0.0	760.0	56	1540	2325	3824	766270197_ext	775118401_ext
gene_1_766270197_ext	gene_29_786772955	67.951	493	154	4	1	492	9	498	0.0	727.0	56	1540	34888	36393	766270197_ext	786772955
gene_1_766270197_ext	gene_60_contig_155057	62.857	490	177	4	3	491	12	497	0.0	647.0	56	1540	31748	33250	766270197_ext	contig_155057
gene_1_766270197_ext	gene_8_contig_154940	60.95	484	188	1	1	483	6	489	0.0	646.0	56	1540	7469	8950	766270197_ext	contig_154940
gene_1_766270197_ext	gene_63_778722464	61.443	485	185	1	1	483	12	496	0.0	617.0	56	1540	48892	50397	766270197_ext	778722464
gene_1_766270197_ext	gene_6_contig_172037	65.586	401	136	2	60	460	1	399	0.0	556.0	56	1540	5291	6568	766270197_ext	contig_172037
gene_1_778722464	gene_15_786772955	72.678	183	46	1	1	183	5	183	8.49e-102	287.0	3	554	14964	15515	778722464	786772955
gene_1_786772955	gene_11_778722464	58.427	89	37	0	1026	1114	1125	1213	8.89e-27	116.0	2	6301	9129	16127	786772955	778722464
gene_1_786772955	gene_32_contig_154940	51.02	98	47	1	1018	1114	1176	1273	1.59e-24	108.0	2	6301	28315	35601	786772955	contig_154940
gene_20_786772955	gene_12_775118401_ext	52.586	116	50	4	29	144	25	135	4.25e-36	117.0	26486	26920	11519	11935	786772955	775118401_ext
gene_20_contig_155057	gene_60_contig_154940	53.589	209	96	1	1	209	6	213	3.98e-81	237.0	12972	13601	50761	51402	contig_155057	contig_154940
gene_20_contig_155057	gene_46_766270197_ext	54.589	207	92	2	1	206	6	211	4.68e-78	229.0	12972	13601	42073	42717	contig_155057	766270197_ext
gene_20_contig_155057	gene_65_786772955	52.632	209	95	2	1	209	7	211	3.01e-76	224.0	12972	13601	55378	56013	contig_155057	786772955
gene_20_contig_155057	gene_53_775118401_ext	54.04	198	90	1	1	198	1	197	3.22e-75	222.0	12972	13601	56276	56899	contig_155057	775118401_ext
gene_21_766270197_ext	gene_7_786772955	62.745	357	127	3	1	357	1	351	1.88e-166	465.0	16215	17288	11317	12372	766270197_ext	786772955
gene_21_766270197_ext	gene_76_contig_155057	56.389	360	148	4	1	357	2	355	8.69e-148	417.0	16215	17288	46386	47453	766270197_ext	contig_155057
gene_21_766270197_ext	gene_26_contig_154940	50.136	367	169	6	1	357	1	363	2.29e-125	361.0	16215	17288	21732	22829	766270197_ext	contig_154940
gene_21_775118401_ext	gene_17_766270197_ext	83.636	55	9	0	1	55	1	55	1.01e-29	95.5	24361	24528	14722	14892	775118401_ext	766270197_ext
gene_21_775118401_ext	gene_13_786772955	76.923	52	12	0	4	55	9	60	4.76e-26	86.3	24361	24528	14365	14553	775118401_ext	786772955
gene_21_775118401_ext	gene_71_contig_155057	70.588	51	15	0	3	53	4	54	4.92e-24	80.9	24361	24528	44490	44660	775118401_ext	contig_155057
gene_21_786772955	gene_11_775118401_ext	78.431	306	60	2	5	304	3	308	1.68e-176	486.0	26938	27855	10587	11513	786772955	775118401_ext
gene_21_786772955	gene_11_766270197_ext	76.721	305	71	0	1	305	2	306	4.64e-173	478.0	26938	27855	10260	11180	786772955	766270197_ext
gene_21_786772955	gene_66_contig_155057	69.256	309	86	1	4	303	1	309	1.02e-160	446.0	26938	27855	40160	41092	786772955	contig_155057
gene_21_786772955	gene_16_contig_154940	63.279	305	106	2	1	303	3	303	6.98e-142	399.0	26938	27855	15825	16742	786772955	contig_154940
gene_21_786772955	gene_13_contig_172037	63.279	305	106	3	1	303	3	303	2.03e-139	392.0	26938	27855	13350	14261	786772955	contig_172037
gene_21_786772955	gene_73_778722464	60.927	302	112	2	4	303	1	298	7.42e-137	385.0	26938	27855	58016	58918	786772955	778722464
gene_21_contig_155057	gene_48_766270197_ext	65.376	439	143	4	6	437	5	441	0.0	611.0	13712	15040	43268	44602	contig_155057	766270197_ext
gene_21_contig_155057	gene_64_786772955	63.039	441	155	3	6	440	5	443	0.0	601.0	13712	15040	53737	55074	contig_155057	786772955
gene_21_contig_155057	gene_55_775118401_ext	64.019	428	147	2	6	427	3	429	0.0	600.0	13712	15040	57453	58751	contig_155057	775118401_ext
gene_21_contig_155057	gene_48_contig_172037	63.218	435	153	4	4	433	5	437	0.0	586.0	13712	15040	48502	49857	contig_155057	contig_172037
gene_21_contig_155057	gene_62_contig_154940	58.588	425	172	2	3	424	1	424	0.0	535.0	13712	15040	51932	53236	contig_155057	contig_154940
gene_21_contig_155057	gene_31_778722464	61.765	340	128	2	86	424	1	339	5.05e-153	434.0	13712	15040	29673	30710	contig_155057	778722464
gene_22_766270197_ext	gene_6_786772955	57.759	348	123	13	1	337	1	335	1.2e-124	358.0	17349	18380	10242	11264	766270197_ext	786772955
gene_22_766270197_ext	gene_77_contig_155057	50.155	323	148	7	4	322	5	318	1.15e-102	301.0	17349	18380	47507	48520	766270197_ext	contig_155057
gene_22_766270197_ext	gene_27_775118401_ext	58.333	60	25	0	26	85	137	196	4.29e-20	87.0	17349	18380	27819	29450	766270197_ext	775118401_ext
gene_22_775118401_ext	gene_3_778722464	60.504	119	46	1	1	119	1	118	5.48e-40	125.0	24534	24896	1154	1510	775118401_ext	778722464
gene_22_775118401_ext	gene_12_786772955	56.693	127	47	2	1	119	1	127	2.61e-31	104.0	24534	24896	13963	14364	775118401_ext	786772955
gene_23_786772955	gene_9_775118401_ext	59.278	388	144	6	46	430	265	641	4.12e-144	421.0	28295	29587	8245	10170	786772955	775118401_ext
gene_23_786772955	gene_64_contig_155057	54.673	214	91	3	33	244	262	471	3.45e-72	238.0	28295	29587	37315	39711	786772955	contig_155057
gene_23_contig_172037	gene_67_contig_155057	57.377	122	51	1	1	121	37	158	1.81e-27	95.5	21095	21460	41094	41570	contig_172037	contig_155057
gene_24_775118401_ext	gene_19_contig_172037	59.794	97	39	0	1	97	13	109	2.22e-38	131.0	25037	26044	17278	17856	775118401_ext	contig_172037
gene_24_775118401_ext	gene_4_778722464	60.825	97	38	0	1	97	1	97	3.75e-38	130.0	25037	26044	1521	2060	775118401_ext	778722464
gene_24_775118401_ext	gene_4_778722464	51.807	83	25	3	261	333	100	177	7.52e-21	84.7	25037	26044	1521	2060	775118401_ext	778722464
gene_24_775118401_ext	gene_9_786772955	60.825	97	38	0	1	97	1	97	9.47e-38	129.0	25037	26044	13039	13575	775118401_ext	786772955
gene_24_775118401_ext	gene_19_766270197_ext	59.794	97	39	0	1	97	1	97	1.33e-36	126.0	25037	26044	15145	15681	775118401_ext	766270197_ext
gene_24_775118401_ext	gene_19_766270197_ext	59.74	77	27	2	261	333	100	176	6.62e-22	87.4	25037	26044	15145	15681	775118401_ext	766270197_ext
gene_24_775118401_ext	gene_74_contig_155057	58.333	84	35	0	14	97	1	84	3.64e-31	111.0	25037	26044	45332	45829	775118401_ext	contig_155057
gene_24_775118401_ext	gene_24_contig_154940	58.667	75	28	1	263	334	107	181	9.27e-20	81.6	25037	26044	20464	21009	775118401_ext	contig_154940
gene_24_contig_154940	gene_4_778722464	53.333	180	75	4	2	179	4	176	2.96e-58	177.0	20464	21009	1521	2060	contig_154940	778722464
gene_24_contig_154940	gene_19_contig_172037	53.846	182	72	4	2	179	16	189	4.33e-56	171.0	20464	21009	17278	17856	contig_154940	contig_172037
gene_24_contig_154940	gene_9_786772955	53.073	179	76	4	2	179	4	175	1.43e-55	170.0	20464	21009	13039	13575	contig_154940	786772955
gene_24_contig_154940	gene_19_766270197_ext	51.397	179	79	4	2	179	4	175	6.48e-54	166.0	20464	21009	15145	15681	contig_154940	766270197_ext
gene_24_contig_154940	gene_74_contig_155057	52.663	169	72	4	12	179	1	162	5.37e-52	160.0	20464	21009	45332	45829	contig_154940	contig_155057
gene_24_contig_154940	gene_24_775118401_ext	58.667	75	28	1	107	181	263	334	5.16e-20	81.6	20464	21009	25037	26044	contig_154940	775118401_ext
gene_25_786772955	gene_70_778722464	81.25	112	21	0	1	112	14	125	4.73e-66	191.0	30617	30955	54682	55059	786772955	778722464
gene_25_contig_172037	gene_4_786772955	58.621	116	48	0	1	116	1	116	2.96e-47	144.0	21619	21975	9645	9995	contig_172037	786772955
gene_25_contig_172037	gene_26_766270197_ext	55.462	119	52	1	1	118	1	119	1.8e-44	137.0	21619	21975	18877	19236	contig_172037	766270197_ext
gene_25_contig_172037	gene_8_778722464	53.846	117	53	1	1	116	1	117	1.29e-41	130.0	21619	21975	5043	5396	contig_172037	778722464
gene_25_contig_172037	gene_29_contig_154940	54.783	115	50	2	1	113	1	115	5.3e-41	128.0	21619	21975	24191	24541	contig_172037	contig_154940
gene_25_contig_172037	gene_29_775118401_ext	53.39	118	55	0	1	118	1	118	3.46e-40	126.0	21619	21975	29689	30045	contig_172037	775118401_ext
gene_25_contig_172037	gene_79_contig_155057	52.5	120	55	2	1	118	1	120	4.94e-40	126.0	21619	21975	48757	49119	contig_172037	contig_155057
gene_26_766270197_ext	gene_29_contig_154940	73.913	115	29	1	1	114	1	115	2.34e-59	174.0	18877	19236	24191	24541	766270197_ext	contig_154940
gene_26_766270197_ext	gene_8_778722464	61.538	117	45	0	1	117	1	117	1.81e-52	157.0	18877	19236	5043	5396	766270197_ext	778722464
gene_26_766270197_ext	gene_79_contig_155057	61.667	120	45	1	1	119	1	120	2.12e-51	154.0	18877	19236	48757	49119	766270197_ext	contig_155057
gene_26_766270197_ext	gene_4_786772955	61.538	117	44	1	1	117	1	116	3.37e-48	146.0	18877	19236	9645	9995	766270197_ext	786772955
gene_26_766270197_ext	gene_29_775118401_ext	56.303	119	51	1	1	119	1	118	6.86e-45	138.0	18877	19236	29689	30045	766270197_ext	775118401_ext
gene_26_766270197_ext	gene_25_contig_172037	55.462	119	52	1	1	119	1	118	1.82e-44	137.0	18877	19236	21619	21975	766270197_ext	contig_172037
gene_26_775118401_ext	gene_7_786772955	57.224	353	149	1	1	353	1	351	1.52e-145	411.0	26708	27769	11317	12372	775118401_ext	786772955
gene_26_775118401_ext	gene_76_contig_155057	53.073	358	159	6	1	353	2	355	1.05e-132	379.0	26708	27769	46386	47453	775118401_ext	contig_155057
gene_26_775118401_ext	gene_21_766270197_ext	50.418	359	170	4	1	353	1	357	2.11e-128	368.0	26708	27769	16215	17288	775118401_ext	766270197_ext
gene_26_786772955	gene_68_778722464	77.083	144	32	1	32	174	12	155	8.47e-80	230.0	31094	31618	53791	54276	786772955	778722464
gene_26_contig_154940	gene_6_778722464	53.022	364	163	3	1	364	1	356	4.05e-137	391.0	21732	22829	2815	3888	contig_154940	778722464
gene_26_contig_154940	gene_21_766270197_ext	50.136	367	169	6	1	363	1	357	2.34e-125	361.0	21732	22829	16215	17288	contig_154940	766270197_ext
gene_26_contig_155057	gene_57_766270197_ext	50.4	125	52	4	1	125	47	161	3.72e-36	118.0	17583	17999	48754	49254	contig_155057	766270197_ext
gene_27_766270197_ext	gene_3_786772955	59.036	83	33	1	1	83	1	82	9.95e-34	108.0	19251	19532	9337	9624	766270197_ext	786772955
