	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
1328	gene_105_contig_155688	gene_11_SAMEA2619923_17	58.586000000000006	99	40	1	901	999	243	340	1.12e-28	114.0
1439	gene_106_contig_154566	gene_62_SAMEA2621151_40	64.035	114	41	0	1	114	1	114	3.329999999999999e-57	169.0
1440	gene_106_contig_154566	gene_52_SAMEA2621085_65	59.13	115	46	1	1	114	1	115	1.7099999999999998e-48	147.0
1441	gene_106_contig_154566	gene_63_contig_155688	53.846000000000004	104	48	0	10	113	1	104	4.76e-43	133.0
2167	gene_10_SAMEA2621085_65	gene_100_SAMEA2621151_40	62.222	135	47	1	171	305	89	219	3.2199999999999996e-50	162.0
2168	gene_10_SAMEA2621085_65	gene_105_contig_155688	69.149	94	29	0	207	300	906	999	3.9399999999999995e-32	122.0
2170	gene_10_SAMEA2621085_65	gene_37_contig_154566	66.316	95	32	0	209	303	176	270	7.479999999999999e-31	115.0
2171	gene_10_SAMEA2621085_65	gene_11_SAMEA2619923_17	59.794	97	38	1	209	305	250	345	2.3e-30	113.0
3837	gene_11_SAMEA2619923_17	gene_10_SAMEA2621085_65	59.794	97	38	1	250	345	209	305	2.64e-30	113.0
3840	gene_11_SAMEA2619923_17	gene_37_contig_154566	60.417	96	37	1	249	343	175	270	5.49e-24	97.8
3843	gene_11_SAMEA2619923_17	gene_105_contig_155688	58.586000000000006	99	40	1	243	340	901	999	5.04e-22	93.6
3972	gene_11_contig_154566	gene_41_SAMEA2621085_65	61.001999999999995	559	179	9	1	559	1	520	0.0	680.0
3973	gene_11_contig_154566	gene_41_SAMEA2619923_17	62.791000000000004	559	169	9	1	559	1	520	0.0	673.0
3974	gene_11_contig_154566	gene_74_SAMEA2621151_40	60.885	565	177	13	1	559	1	527	0.0	655.0
3975	gene_11_contig_154566	gene_76_contig_155688	58.172	569	187	12	1	559	1	528	0.0	633.0
4998	gene_12_SAMEA2621085_65	gene_40_contig_154566	92.30799999999999	104	8	0	3	106	156	259	6.389999999999999e-65	193.0
4999	gene_12_SAMEA2621085_65	gene_15_contig_156409	86.792	106	14	0	1	106	1	106	2.53e-62	181.0
5000	gene_12_SAMEA2621085_65	gene_98_SAMEA2621151_40	84.906	106	14	1	1	106	35	138	6.49e-59	174.0
5002	gene_12_SAMEA2621085_65	gene_66_contig_155688	85.10600000000001	94	14	0	13	106	19	112	1.4599999999999998e-51	154.0
5027	gene_12_contig_154566	gene_39_SAMEA2621085_65	59.341	91	37	0	1	91	1	91	1.81e-39	123.0
5029	gene_12_contig_154566	gene_39_SAMEA2619923_17	55.681999999999995	88	39	0	7	94	6	93	4.58e-34	109.0
5030	gene_12_contig_154566	gene_75_SAMEA2621151_40	50.505	99	47	2	1	99	1	97	3.6899999999999995e-33	107.0
5031	gene_12_contig_154566	gene_78_contig_155688	65.079	63	22	0	36	98	21	83	3.01e-30	99.4
5334	gene_13_SAMEA2619923_17	gene_104_contig_155688	55.696000000000005	158	61	2	8	156	6	163	4.649999999999999e-59	179.0
5336	gene_13_SAMEA2619923_17	gene_36_contig_154566	57.037	135	55	1	4	135	20	154	2.96e-50	159.0
5338	gene_13_SAMEA2619923_17	gene_15_SAMEA2621085_65	59.663999999999994	119	46	1	10	126	10	128	9.38e-44	141.0
5417	gene_13_SAMEA2621085_65	gene_93_contig_155688	92.5	40	3	0	1	40	1	40	9.07e-24	80.1
5579	gene_13_contig_156409	gene_91_contig_155688	80.435	92	18	0	3	94	10	101	3.0599999999999996e-50	151.0
5580	gene_13_contig_156409	gene_14_SAMEA2621085_65	78.351	97	20	1	2	97	8	104	6.9e-48	144.0
5805	gene_14_SAMEA2619923_17	gene_16_SAMEA2621085_65	61.765	68	26	0	1	68	1	68	3.1e-28	93.6
5806	gene_14_SAMEA2619923_17	gene_35_contig_154566	54.321000000000005	81	33	1	1	81	1	77	1.01e-26	89.7
5808	gene_14_SAMEA2619923_17	gene_96_SAMEA2621151_40	56.716	67	29	0	3	69	13	79	1.1699999999999998e-23	82.4
5809	gene_14_SAMEA2619923_17	gene_103_contig_155688	52.174	69	33	0	1	69	1	69	1.4599999999999998e-23	81.6
5856	gene_14_SAMEA2621085_65	gene_91_contig_155688	83.333	102	15	2	1	101	1	101	1.5499999999999998e-55	165.0
5858	gene_14_SAMEA2621085_65	gene_13_contig_156409	78.351	97	20	1	8	104	2	97	7.39e-48	144.0
5891	gene_14_contig_154566	gene_38_SAMEA2621085_65	93.54799999999999	93	6	0	1	93	1	93	3.44e-59	172.0
5997	gene_14_contig_156409	gene_93_contig_155688	95.652	46	2	0	1	46	7	52	2.56e-26	86.3
5998	gene_14_contig_156409	gene_13_SAMEA2621085_65	97.77799999999999	45	0	1	2	45	8	52	6.530000000000001e-25	82.8
6201	gene_15_SAMEA2619923_17	gene_102_contig_155688	66.667	234	78	0	7	240	5	238	1.9699999999999995e-123	346.0
6202	gene_15_SAMEA2619923_17	gene_34_contig_154566	66.222	225	76	0	16	240	13	237	3.0299999999999994e-121	341.0
6203	gene_15_SAMEA2619923_17	gene_95_SAMEA2621151_40	63.983000000000004	236	83	1	3	238	1	234	1.5499999999999998e-120	339.0
6204	gene_15_SAMEA2619923_17	gene_17_SAMEA2621085_65	62.553000000000004	235	88	0	5	239	2	236	2.4999999999999994e-119	336.0
6206	gene_15_SAMEA2619923_17	gene_71_contig_156409	59.583	240	92	3	3	239	1	238	2.6999999999999996e-109	311.0
6283	gene_15_SAMEA2621085_65	gene_97_SAMEA2621151_40	50.99	202	83	5	10	208	3	191	3.03e-59	181.0
6285	gene_15_SAMEA2621085_65	gene_104_contig_155688	58.475	118	47	1	11	128	9	124	6.849999999999999e-44	141.0
6286	gene_15_SAMEA2621085_65	gene_13_SAMEA2619923_17	59.663999999999994	119	46	1	10	128	10	126	1.01e-43	141.0
6414	gene_15_contig_155688	gene_85_SAMEA2619923_17	62.903	62	23	0	10	71	4	65	7.18e-26	87.0
6451	gene_15_contig_156409	gene_12_SAMEA2621085_65	86.792	106	14	0	1	106	1	106	2.53e-62	181.0
6452	gene_15_contig_156409	gene_98_SAMEA2621151_40	85.84899999999999	106	13	1	1	106	35	138	7.5599999999999985e-59	173.0
6453	gene_15_contig_156409	gene_40_contig_154566	82.69200000000001	104	18	0	3	106	156	259	2.7299999999999998e-56	171.0
6454	gene_15_contig_156409	gene_66_contig_155688	80.952	105	15	1	2	106	13	112	7.019999999999999e-54	160.0
6635	gene_16_SAMEA2619923_17	gene_100_contig_155688	62.5	280	103	1	13	290	4	283	5.699999999999999e-136	385.0
6637	gene_16_SAMEA2619923_17	gene_94_SAMEA2621151_40	57.475	301	123	3	1	298	1	299	7.369999999999999e-118	340.0
6638	gene_16_SAMEA2619923_17	gene_19_SAMEA2621085_65	60.727	275	106	2	18	291	23	296	3.499999999999999e-117	338.0
6694	gene_16_SAMEA2621085_65	gene_35_contig_154566	68.235	85	27	0	1	85	1	85	3.26e-41	126.0
6695	gene_16_SAMEA2621085_65	gene_96_SAMEA2621151_40	71.95100000000001	82	23	0	3	84	13	94	1.76e-39	122.0
6696	gene_16_SAMEA2621085_65	gene_103_contig_155688	56.626999999999995	83	36	0	1	83	1	83	1.06e-28	94.7
6697	gene_16_SAMEA2621085_65	gene_14_SAMEA2619923_17	61.765	68	26	0	1	68	1	68	3.21e-28	93.6
6714	gene_16_SAMEA2621151_40	gene_52_contig_154566	52.381	189	78	4	1	178	53	240	3.48e-60	196.0
6809	gene_16_contig_155688	gene_81_SAMEA2621085_65	54.46	213	80	6	7	207	18	225	4.879999999999999e-69	207.0
6810	gene_16_contig_155688	gene_34_SAMEA2621151_40	52.885	208	87	4	7	207	41	244	1.7699999999999996e-62	191.0
7204	gene_17_SAMEA2621085_65	gene_102_contig_155688	73.932	234	61	0	4	237	5	238	4.829999999999999e-132	368.0
7205	gene_17_SAMEA2621085_65	gene_95_SAMEA2621151_40	69.658	234	69	1	2	235	3	234	4.2099999999999985e-130	363.0
7207	gene_17_SAMEA2621085_65	gene_34_contig_154566	68.142	226	72	0	12	237	12	237	1.5899999999999998e-124	349.0
7208	gene_17_SAMEA2621085_65	gene_15_SAMEA2619923_17	62.553000000000004	235	88	0	2	236	5	239	2.4699999999999991e-119	336.0
7209	gene_17_SAMEA2621085_65	gene_71_contig_156409	54.393	239	104	3	1	236	2	238	1.0099999999999997e-98	284.0
7263	gene_17_contig_154566	gene_35_SAMEA2621085_65	86.20700000000001	377	51	1	1	377	1	376	0.0	671.0
7264	gene_17_contig_154566	gene_78_SAMEA2621151_40	77.551	392	72	5	1	377	1	391	0.0	630.0
7265	gene_17_contig_154566	gene_31_SAMEA2619923_17	77.215	395	71	5	1	377	1	394	0.0	627.0
7267	gene_17_contig_154566	gene_83_contig_155688	80.637	377	62	3	1	377	1	366	0.0	613.0
7268	gene_17_contig_154566	gene_88_contig_156409	69.531	384	107	6	1	377	1	381	0.0	555.0
7709	gene_18_contig_154566	gene_79_SAMEA2621151_40	63.226000000000006	465	157	9	1	459	8	464	0.0	546.0
7710	gene_18_contig_154566	gene_34_SAMEA2621085_65	65.605	471	126	8	8	460	14	466	0.0	535.0
7711	gene_18_contig_154566	gene_84_contig_155688	59.17	458	160	11	13	460	17	457	3.729999999999999e-173	490.0
7712	gene_18_contig_154566	gene_30_SAMEA2619923_17	54.218999999999994	474	182	9	1	460	7	459	1.8099999999999996e-156	448.0
7713	gene_18_contig_154566	gene_87_contig_156409	51.163000000000004	473	188	11	12	460	17	470	4.679999999999998e-146	422.0
7833	gene_18_contig_156409	gene_60_contig_155688	51.244	201	93	2	1	197	21	220	3.219999999999999e-76	224.0
7835	gene_18_contig_156409	gene_62_SAMEA2621085_65	52.708999999999996	203	90	4	1	197	1	203	3.8699999999999994e-75	221.0
7836	gene_18_contig_156409	gene_54_SAMEA2621151_40	50.99	202	94	3	1	197	1	202	2.79e-74	219.0
7837	gene_18_contig_156409	gene_56_SAMEA2619923_17	54.545	198	86	2	4	197	3	200	1.6199999999999997e-73	217.0
8030	gene_19_SAMEA2619923_17	gene_22_SAMEA2621085_65	55.869	213	93	1	12	223	2	214	2.8399999999999993e-88	257.0
8031	gene_19_SAMEA2619923_17	gene_30_contig_154566	56.278999999999996	215	93	1	16	229	2	216	4.2399999999999995e-88	256.0
8032	gene_19_SAMEA2619923_17	gene_98_contig_155688	55.708	219	95	2	10	226	1	219	3.279999999999999e-87	254.0
8033	gene_19_SAMEA2619923_17	gene_91_SAMEA2621151_40	54.0	200	91	1	28	226	2	201	4.5199999999999985e-80	236.0
8135	gene_19_SAMEA2621085_65	gene_33_contig_154566	72.517	302	82	1	20	320	2	303	6.879999999999997e-162	451.0
8137	gene_19_SAMEA2621085_65	gene_94_SAMEA2621151_40	67.742	310	92	3	19	321	12	320	4.5099999999999986e-141	398.0
8138	gene_19_SAMEA2621085_65	gene_100_contig_155688	60.345	290	113	2	23	311	9	297	1.3599999999999994e-131	373.0
8139	gene_19_SAMEA2621085_65	gene_16_SAMEA2619923_17	60.727	275	106	2	23	296	18	291	3.4199999999999993e-127	363.0
8664	gene_1_contig_154566	gene_64_SAMEA2621151_40	50.192	4939	2043	112	448	5206	799	5500	0.0	4479.0
8667	gene_1_contig_154566	gene_67_contig_155688	51.472	781	341	18	4434	5206	4822	5572	0.0	743.0
8668	gene_1_contig_154566	gene_67_contig_155688	52.316	367	165	6	1	364	370	729	2.3299999999999997e-102	368.0
8670	gene_1_contig_154566	gene_50_SAMEA2621085_65	50.506	1483	615	32	3751	5205	4151	5542	0.0	1371.0
9068	gene_20_SAMEA2621085_65	gene_32_contig_154566	55.34	206	84	5	1	200	1	204	9.139999999999998e-66	197.0
9236	gene_20_contig_156409	gene_64_SAMEA2621085_65	50.655	229	110	2	2	229	3	229	3.2699999999999998e-75	223.0
9501	gene_21_SAMEA2621085_65	gene_92_SAMEA2621151_40	59.523999999999994	84	32	1	1	84	1	82	3.3399999999999996e-32	103.0
9890	gene_22_SAMEA2621085_65	gene_30_contig_154566	66.21	219	74	0	5	223	1	219	8.409999999999999e-112	315.0
9891	gene_22_SAMEA2621085_65	gene_91_SAMEA2621151_40	67.0	200	66	0	18	217	2	201	2.6999999999999993e-108	306.0
9893	gene_22_SAMEA2621085_65	gene_98_contig_155688	62.385	218	81	1	3	219	4	221	8.129999999999997e-105	298.0
9894	gene_22_SAMEA2621085_65	gene_19_SAMEA2619923_17	56.221000000000004	217	94	1	2	218	12	227	1.5199999999999997e-90	263.0
9895	gene_22_SAMEA2621085_65	gene_75_contig_156409	51.22	205	98	2	22	225	2	205	3.509999999999999e-78	230.0
10197	gene_23_SAMEA2619923_17	gene_94_contig_155688	71.869	487	136	1	7	493	5	490	0.0	757.0
10200	gene_23_SAMEA2619923_17	gene_27_SAMEA2621085_65	68.507	489	150	2	7	495	6	490	0.0	723.0
10201	gene_23_SAMEA2619923_17	gene_86_SAMEA2621151_40	66.392	485	162	1	1	485	1	484	0.0	707.0
10202	gene_23_SAMEA2619923_17	gene_25_contig_154566	67.161	472	154	1	6	477	5	475	0.0	691.0
10204	gene_23_SAMEA2619923_17	gene_80_contig_156409	50.323	465	219	4	7	470	5	458	1.5499999999999994e-177	503.0
10337	gene_23_contig_154566	gene_84_SAMEA2621151_40	74.061	559	126	5	27	580	1	545	0.0	861.0
10338	gene_23_contig_154566	gene_29_SAMEA2621085_65	71.233	584	162	4	2	580	4	586	0.0	834.0
10339	gene_23_contig_154566	gene_89_contig_155688	65.541	592	191	5	1	579	1	592	0.0	800.0
10340	gene_23_contig_154566	gene_25_SAMEA2619923_17	65.42399999999999	590	186	7	1	580	1	582	0.0	780.0
10341	gene_23_contig_154566	gene_82_contig_156409	56.457	604	223	9	1	574	1	594	0.0	685.0
10728	gene_24_SAMEA2621151_40	gene_63_contig_154566	57.225	173	65	1	1	173	1	164	8.639999999999999e-71	207.0
10730	gene_24_SAMEA2621151_40	gene_41_contig_156409	53.513999999999996	185	77	3	1	176	1	185	1.4999999999999996e-63	190.0
10731	gene_24_SAMEA2621151_40	gene_82_SAMEA2619923_17	57.419	155	55	2	25	177	1	146	1.43e-61	184.0
10732	gene_24_SAMEA2621151_40	gene_24_contig_155688	56.863	153	57	1	25	177	1	144	2.29e-59	178.0
10845	gene_24_contig_155688	gene_82_SAMEA2619923_17	75.342	146	34	1	1	144	1	146	4.689999999999999e-79	226.0
10847	gene_24_contig_155688	gene_63_contig_154566	75.0	140	35	0	1	140	25	164	9.919999999999999e-77	221.0
10849	gene_24_contig_155688	gene_94_SAMEA2621085_65	64.583	144	47	2	1	140	25	168	2.5899999999999998e-61	182.0
10850	gene_24_contig_155688	gene_24_SAMEA2621151_40	56.863	153	57	1	1	144	25	177	1.87e-59	178.0
10851	gene_24_contig_155688	gene_41_contig_156409	55.975	159	52	3	1	141	25	183	7.179999999999999e-55	167.0
11025	gene_25_SAMEA2619923_17	gene_23_contig_154566	64.846	586	196	6	1	582	1	580	0.0	768.0
11026	gene_25_SAMEA2619923_17	gene_29_SAMEA2621085_65	62.415	588	213	5	1	582	1	586	0.0	762.0
11027	gene_25_SAMEA2619923_17	gene_84_SAMEA2621151_40	65.709	557	176	6	29	582	1	545	0.0	759.0
11028	gene_25_SAMEA2619923_17	gene_89_contig_155688	58.242	637	165	7	1	581	1	592	0.0	757.0
11029	gene_25_SAMEA2619923_17	gene_82_contig_156409	57.993	588	228	3	8	577	9	595	0.0	706.0
11122	gene_25_contig_154566	gene_86_SAMEA2621151_40	85.366	492	69	1	2	493	3	491	0.0	894.0
11123	gene_25_contig_154566	gene_27_SAMEA2621085_65	81.02	490	91	1	4	493	4	491	0.0	855.0
11125	gene_25_contig_154566	gene_94_contig_155688	73.482	494	124	2	4	493	3	493	0.0	779.0
11126	gene_25_contig_154566	gene_23_SAMEA2619923_17	65.64399999999999	489	166	2	5	491	6	494	0.0	693.0
11935	gene_27_SAMEA2621085_65	gene_86_SAMEA2621151_40	82.787	488	83	1	4	491	5	491	0.0	870.0
11936	gene_27_SAMEA2621085_65	gene_25_contig_154566	80.816	490	92	1	4	491	4	493	0.0	846.0
11937	gene_27_SAMEA2621085_65	gene_94_contig_155688	76.065	493	115	1	2	491	1	493	0.0	808.0
11939	gene_27_SAMEA2621085_65	gene_23_SAMEA2619923_17	68.507	489	150	2	6	490	7	495	0.0	723.0
12344	gene_28_SAMEA2621085_65	gene_85_SAMEA2621151_40	62.865	377	140	0	8	384	21	397	6.069999999999999e-180	502.0
12779	gene_29_SAMEA2621085_65	gene_84_SAMEA2621151_40	74.555	562	121	6	30	586	1	545	0.0	867.0
12781	gene_29_SAMEA2621085_65	gene_23_contig_154566	70.408	588	160	4	4	586	2	580	0.0	834.0
12782	gene_29_SAMEA2621085_65	gene_89_contig_155688	65.008	603	182	5	1	585	1	592	0.0	818.0
12783	gene_29_SAMEA2621085_65	gene_25_SAMEA2619923_17	62.795	594	201	7	1	586	1	582	0.0	764.0
12784	gene_29_SAMEA2621085_65	gene_82_contig_156409	65.539	473	157	4	1	470	1	470	0.0	690.0
13528	gene_30_SAMEA2619923_17	gene_79_SAMEA2621151_40	55.92100000000001	456	183	8	17	459	15	465	1.2199999999999996e-168	479.0
13529	gene_30_SAMEA2619923_17	gene_34_SAMEA2621085_65	54.585	458	188	6	17	459	14	466	5.779999999999998e-155	444.0
13530	gene_30_SAMEA2619923_17	gene_18_contig_154566	53.978	465	197	7	7	459	1	460	1.5699999999999998e-152	438.0
13531	gene_30_SAMEA2619923_17	gene_84_contig_155688	54.248000000000005	459	164	13	21	454	15	452	2.1099999999999995e-151	435.0
13532	gene_30_SAMEA2619923_17	gene_87_contig_156409	51.282	468	191	9	19	459	13	470	4.939999999999998e-143	414.0
13643	gene_30_contig_154566	gene_22_SAMEA2621085_65	67.143	210	69	0	1	210	5	214	2.0099999999999993e-108	307.0
13645	gene_30_contig_154566	gene_98_contig_155688	60.273999999999994	219	86	1	1	218	6	224	3.3699999999999995e-99	284.0
13646	gene_30_contig_154566	gene_91_SAMEA2621151_40	63.0	200	74	0	14	213	2	201	4.579999999999999e-99	283.0
13647	gene_30_contig_154566	gene_19_SAMEA2619923_17	56.278999999999996	215	93	1	2	216	16	229	3.819999999999999e-88	256.0
14025	gene_31_SAMEA2619923_17	gene_78_SAMEA2621151_40	75.628	398	86	5	1	394	1	391	0.0	632.0
14027	gene_31_SAMEA2619923_17	gene_35_SAMEA2621085_65	76.962	395	71	3	1	394	1	376	0.0	617.0
14028	gene_31_SAMEA2619923_17	gene_83_contig_155688	75.635	394	68	2	1	394	1	366	0.0	610.0
14029	gene_31_SAMEA2619923_17	gene_17_contig_154566	77.215	395	71	5	1	394	1	377	0.0	608.0
14030	gene_31_SAMEA2619923_17	gene_88_contig_156409	72.544	397	90	4	1	394	1	381	0.0	602.0
14171	gene_31_contig_154566	gene_92_SAMEA2621151_40	51.724	87	36	1	1	87	2	82	2.7999999999999998e-24	84.0
14541	gene_32_SAMEA2621085_65	gene_81_SAMEA2621151_40	54.902	204	55	2	3	206	2	168	4.729999999999999e-67	199.0
14595	gene_32_contig_154566	gene_20_SAMEA2621085_65	54.369	206	86	6	1	204	1	200	8.269999999999998e-66	197.0
14944	gene_33_SAMEA2619923_17	gene_81_contig_155688	59.14	93	37	1	3	94	13	105	1.92e-33	109.0
15104	gene_33_contig_154566	gene_19_SAMEA2621085_65	74.39399999999999	289	73	1	2	290	20	307	7.669999999999998e-157	438.0
15106	gene_33_contig_154566	gene_94_SAMEA2621151_40	62.776	317	114	4	2	317	13	326	5.5199999999999985e-130	370.0
15107	gene_33_contig_154566	gene_100_contig_155688	55.326	291	127	3	5	294	9	297	1.8699999999999997e-123	352.0
15108	gene_33_contig_154566	gene_16_SAMEA2619923_17	50.325	308	143	4	5	307	18	320	4.319999999999999e-116	335.0
15449	gene_34_SAMEA2621085_65	gene_79_SAMEA2621151_40	63.214	473	157	7	1	465	1	464	0.0	565.0
15451	gene_34_SAMEA2621085_65	gene_18_contig_154566	67.028	461	136	8	14	466	8	460	0.0	561.0
15452	gene_34_SAMEA2621085_65	gene_84_contig_155688	58.898	472	152	12	14	467	11	458	1.8299999999999992e-178	504.0
15453	gene_34_SAMEA2621085_65	gene_30_SAMEA2619923_17	55.172	464	176	9	14	466	17	459	9.429999999999996e-163	464.0
15454	gene_34_SAMEA2621085_65	gene_87_contig_156409	52.119	472	204	8	10	467	8	471	2.799999999999999e-144	417.0
15510	gene_34_SAMEA2621151_40	gene_81_SAMEA2621085_65	61.333	225	82	2	24	244	2	225	9.509999999999999e-87	253.0
15511	gene_34_SAMEA2621151_40	gene_16_contig_155688	52.885	208	87	4	41	244	7	207	6.019999999999999e-64	194.0
15526	gene_34_contig_154566	gene_102_contig_155688	70.085	234	70	0	4	237	5	238	3.359999999999999e-131	366.0
15527	gene_34_contig_154566	gene_95_SAMEA2621151_40	70.69	232	66	1	4	235	5	234	3.679999999999999e-129	360.0
15528	gene_34_contig_154566	gene_17_SAMEA2621085_65	67.51100000000001	237	77	0	1	237	1	237	1.0999999999999998e-128	359.0
15529	gene_34_contig_154566	gene_15_SAMEA2619923_17	65.812	234	80	0	4	237	7	240	2.3699999999999996e-124	348.0
15530	gene_34_contig_154566	gene_71_contig_156409	56.25	240	99	4	1	236	1	238	1.8099999999999998e-99	286.0
15916	gene_35_SAMEA2621085_65	gene_17_contig_154566	86.20700000000001	377	51	1	1	376	1	377	0.0	671.0
15917	gene_35_SAMEA2621085_65	gene_78_SAMEA2621151_40	80.102	392	61	5	1	376	1	391	0.0	642.0
15918	gene_35_SAMEA2621085_65	gene_31_SAMEA2619923_17	76.962	395	71	3	1	376	1	394	0.0	637.0
15920	gene_35_SAMEA2621085_65	gene_83_contig_155688	81.915	376	58	3	1	376	1	366	0.0	624.0
15921	gene_35_SAMEA2621085_65	gene_88_contig_156409	71.99	382	100	4	1	376	1	381	0.0	573.0
15967	gene_35_contig_154566	gene_16_SAMEA2621085_65	68.235	85	27	0	1	85	1	85	3.26e-41	126.0
15968	gene_35_contig_154566	gene_96_SAMEA2621151_40	67.949	78	25	0	3	80	13	90	4.37e-37	116.0
15969	gene_35_contig_154566	gene_14_SAMEA2619923_17	54.321000000000005	81	33	1	1	77	1	81	1.0500000000000002e-26	89.7
15970	gene_35_contig_154566	gene_103_contig_155688	56.25	80	35	0	1	80	1	80	2.0899999999999998e-26	89.0
16276	gene_36_SAMEA2621085_65	gene_89_contig_156409	53.147	143	63	4	1	141	1	141	9.789999999999999e-35	114.0
16309	gene_36_contig_154566	gene_97_SAMEA2621151_40	57.143	210	72	6	25	230	2	197	6.659999999999999e-78	229.0
16312	gene_36_contig_154566	gene_104_contig_155688	54.601000000000006	163	68	3	28	188	10	168	8.68e-55	169.0
16313	gene_36_contig_154566	gene_13_SAMEA2619923_17	57.037	135	55	1	20	154	4	135	3.4899999999999997e-50	159.0
16669	gene_37_contig_154566	gene_100_SAMEA2621151_40	81.111	90	17	0	180	269	127	216	5.649999999999999e-45	151.0
16671	gene_37_contig_154566	gene_10_SAMEA2621085_65	66.316	95	32	0	176	270	209	303	1.15e-35	129.0
16672	gene_37_contig_154566	gene_105_contig_155688	78.495	93	20	0	178	270	910	1002	5.68e-32	124.0
16673	gene_37_contig_154566	gene_11_SAMEA2619923_17	60.417	96	37	1	175	270	249	343	1.65e-31	119.0
17066	gene_38_SAMEA2621085_65	gene_14_contig_154566	93.54799999999999	93	6	0	1	93	1	93	1.25e-51	153.0
17462	gene_39_SAMEA2619923_17	gene_12_contig_154566	55.681999999999995	88	39	0	6	93	7	94	4.299999999999999e-34	109.0
17463	gene_39_SAMEA2619923_17	gene_39_SAMEA2621085_65	50.0	88	44	0	6	93	7	94	3.5e-28	94.4
17559	gene_39_SAMEA2621085_65	gene_12_contig_154566	59.341	91	37	0	1	91	1	91	1.72e-39	123.0
17560	gene_39_SAMEA2621085_65	gene_75_SAMEA2621151_40	53.763000000000005	93	41	1	1	93	1	91	6.1e-38	119.0
17561	gene_39_SAMEA2621085_65	gene_78_contig_155688	51.22	82	37	1	13	94	1	79	2.7300000000000004e-28	94.4
17562	gene_39_SAMEA2621085_65	gene_39_SAMEA2619923_17	50.0	88	44	0	7	94	6	93	3.5399999999999997e-28	94.4
17597	gene_39_contig_154566	gene_86_contig_155688	59.701	67	25	1	8	72	24	90	1.1199999999999999e-23	85.5
18448	gene_40_contig_154566	gene_12_SAMEA2621085_65	92.30799999999999	104	8	0	156	259	3	106	1.35e-64	193.0
18449	gene_40_contig_154566	gene_98_SAMEA2621151_40	77.686	121	25	1	139	259	20	138	4.19e-64	193.0
