qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	query_contig	subject_contig	query_start	query_end	subject_start	subject_end
gene_1_contig_154566	gene_67_contig_155688	51.472	781	341	18	4434	5206	4822	5572	0.0	743.0	contig_154566	contig_155688	1	102800	44459	61177
gene_1_contig_154566	gene_67_contig_155688	52.316	367	165	6	1	364	370	729	2.3299999999999997e-102	368.0	contig_154566	contig_155688	1	102800	44459	61177
gene_23_contig_154566	gene_89_contig_155688	65.541	592	191	5	1	579	1	592	0.0	800.0	contig_154566	contig_155688	32577	34319	81163	82944
gene_23_contig_154566	gene_82_contig_156409	56.457	604	223	9	1	574	1	594	0.0	685.0	contig_154566	contig_156409	32577	34319	80284	82125
gene_25_contig_154566	gene_94_contig_155688	73.482	494	124	2	4	493	3	493	0.0	779.0	contig_154566	contig_155688	35538	37019	85221	86702
gene_30_contig_154566	gene_98_contig_155688	60.273999999999994	219	86	1	1	218	6	224	3.3699999999999995e-99	284.0	contig_154566	contig_155688	41835	42494	91770	92450
gene_33_contig_154566	gene_100_contig_155688	55.326	291	127	3	5	294	9	297	1.8699999999999997e-123	352.0	contig_154566	contig_155688	43450	44412	93618	94547
gene_34_contig_154566	gene_102_contig_155688	70.085	234	70	0	4	237	5	238	3.359999999999999e-131	366.0	contig_154566	contig_155688	44693	45406	94723	95439
gene_34_contig_154566	gene_71_contig_156409	56.25	240	99	4	1	236	1	238	1.8099999999999998e-99	286.0	contig_154566	contig_156409	44693	45406	67550	68269
gene_35_contig_154566	gene_103_contig_155688	56.25	80	35	0	1	80	1	80	2.0899999999999998e-26	89.0	contig_154566	contig_155688	45416	45673	95439	95693
gene_36_contig_154566	gene_104_contig_155688	54.601000000000006	163	68	3	28	188	10	168	8.68e-55	169.0	contig_154566	contig_155688	45673	46365	95705	96232
gene_37_contig_154566	gene_105_contig_155688	78.495	93	20	0	178	270	910	1002	5.68e-32	124.0	contig_154566	contig_155688	46349	47575	96549	99557
gene_39_contig_154566	gene_86_contig_155688	59.701	67	25	1	8	72	24	90	1.1199999999999999e-23	85.5	contig_154566	contig_155688	48368	48586	79701	80420
gene_40_contig_154566	gene_15_contig_156409	82.69200000000001	104	18	0	156	259	3	106	7.76e-56	171.0	contig_154566	contig_156409	48586	49365	17973	18293
gene_40_contig_154566	gene_66_contig_155688	76.786	112	20	1	148	259	7	112	9.409999999999999e-55	168.0	contig_154566	contig_155688	48586	49365	44124	44462
gene_41_contig_156409	gene_63_contig_154566	58.47	183	58	3	1	183	1	165	2.8799999999999994e-72	212.0	contig_156409	contig_154566	41468	42034	66279	66779
gene_41_contig_156409	gene_24_contig_155688	55.975	159	52	3	25	183	1	141	9.37e-55	167.0	contig_156409	contig_155688	41468	42034	14875	15309
gene_4_contig_156409	gene_103_contig_154566	57.273	110	40	2	131	240	174	276	7.03e-25	105.0	contig_156409	contig_154566	4487	7084	96497	97951
gene_63_contig_154566	gene_24_contig_155688	75.0	140	35	0	25	164	1	140	1.1399999999999998e-76	221.0	contig_154566	contig_155688	66279	66779	14875	15309
gene_63_contig_154566	gene_41_contig_156409	58.47	183	58	3	1	165	1	183	2.549999999999999e-72	212.0	contig_154566	contig_156409	66279	66779	41468	42034
gene_70_contig_156409	gene_103_contig_155688	61.538000000000004	78	30	0	1	78	1	78	1.59e-31	102.0	contig_156409	contig_155688	67296	67541	95439	95693
gene_71_contig_156409	gene_102_contig_155688	53.75	240	106	3	1	238	1	237	1.88e-95	275.0	contig_156409	contig_155688	67550	68269	94723	95439
gene_71_contig_156409	gene_34_contig_154566	55.702	228	96	3	13	238	12	236	3.739999999999999e-95	275.0	contig_156409	contig_154566	67550	68269	44693	45406
gene_7_contig_154566	gene_72_contig_155688	50.515	97	41	3	97	190	51	143	1.31e-24	90.9	contig_154566	contig_155688	16246	16836	64235	64702
gene_80_contig_156409	gene_94_contig_155688	51.992	477	217	4	1	466	1	476	0.0	513.0	contig_156409	contig_155688	77201	78601	85221	86702
gene_82_contig_156409	gene_23_contig_154566	56.61600000000001	597	233	9	1	594	1	574	0.0	683.0	contig_156409	contig_154566	80284	82125	32577	34319
gene_82_contig_156409	gene_89_contig_155688	55.519	607	246	8	4	603	3	592	0.0	672.0	contig_156409	contig_155688	80284	82125	81163	82944
gene_85_contig_154566	gene_51_contig_155688	51.995	752	318	10	58	785	1	733	0.0	778.0	contig_154566	contig_155688	78466	80844	28759	30990
gene_87_contig_156409	gene_84_contig_155688	50.763000000000005	459	204	7	18	471	17	458	1.6699999999999996e-145	420.0	contig_156409	contig_155688	89952	91373	72525	73904
gene_87_contig_156409	gene_18_contig_154566	50.753	465	202	8	17	470	12	460	1.1299999999999998e-139	405.0	contig_156409	contig_154566	89952	91373	24459	25847
gene_88_contig_156409	gene_83_contig_155688	71.916	381	92	4	1	381	1	366	0.0	551.0	contig_156409	contig_155688	91376	92521	71407	72507
gene_88_contig_156409	gene_17_contig_154566	69.531	384	107	6	1	381	1	377	0.0	535.0	contig_156409	contig_154566	91376	92521	23323	24456
gene_91_contig_154566	gene_57_contig_155688	60.909	110	43	0	1	110	1	110	5.769999999999998e-48	153.0	contig_154566	contig_155688	82857	83192	33030	34118
gene_93_contig_154566	gene_58_contig_155688	66.22800000000001	228	76	1	1	227	6	233	8.729999999999996e-119	334.0	contig_154566	contig_155688	84211	84900	34354	35055
gene_94_contig_154566	gene_59_contig_155688	50.128	391	183	3	1	384	77	462	2.5099999999999993e-133	386.0	contig_154566	contig_155688	85189	86361	35092	36489
gene_95_contig_154566	gene_60_contig_155688	50.49	204	97	3	1	204	21	220	2.7899999999999995e-72	214.0	contig_154566	contig_155688	86354	86971	36584	37249
gene_96_contig_154566	gene_61_contig_155688	60.835	503	191	5	2	499	5	506	0.0	619.0	contig_154566	contig_155688	86968	88467	37246	38766
gene_96_contig_156409	gene_9_contig_154566	55.63399999999999	142	63	0	4	145	7	148	6.76e-61	181.0	contig_156409	contig_154566	96622	97062	19096	19545
gene_96_contig_156409	gene_74_contig_155688	56.643	143	62	0	3	145	6	148	7.37e-58	173.0	contig_156409	contig_155688	96622	97062	66687	67136
gene_9_contig_154566	gene_74_contig_155688	65.101	149	52	0	1	149	1	149	2.39e-71	207.0	contig_154566	contig_155688	19096	19545	66687	67136
gene_9_contig_154566	gene_96_contig_156409	55.63399999999999	142	63	0	7	148	4	145	6.9e-61	181.0	contig_154566	contig_156409	19096	19545	96622	97062
