qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	name	start	end	query_contig	subject_contig	subject_start	subject_end
gene_97_SAMEA2621151_40	gene_36_contig_154566	57.143	210	72	6	2	197	25	230	5.699999999999999e-78	229.0	gene_36_contig_154566	45673	46365	SAMEA2621085_65	SAMEA2619923_17	45673	46365
gene_97_SAMEA2621151_40	gene_36_contig_154566	57.143	210	72	6	2	197	25	230	5.699999999999999e-78	229.0	gene_36_contig_154566	45673	46365	SAMEA2621085_65	SAMEA2619923_17	45673	46365
gene_105_contig_155688	gene_37_contig_154566	78.495	93	20	0	910	1002	178	270	1.83e-31	124.0	gene_37_contig_154566	46349	47575	SAMEA2621085_65	SAMEA2619923_17	46349	47575
gene_105_contig_155688	gene_37_contig_154566	78.495	93	20	0	910	1002	178	270	1.83e-31	124.0	gene_37_contig_154566	46349	47575	SAMEA2621085_65	SAMEA2619923_17	46349	47575
gene_11_SAMEA2619923_17	gene_37_contig_154566	60.417	96	37	1	249	343	175	270	5.49e-24	97.8	gene_37_contig_154566	46349	47575	SAMEA2621085_65	SAMEA2619923_17	46349	47575
gene_10_SAMEA2621085_65	gene_37_contig_154566	66.316	95	32	0	209	303	176	270	7.479999999999999e-31	115.0	gene_37_contig_154566	46349	47575	SAMEA2621085_65	SAMEA2619923_17	46349	47575
gene_100_SAMEA2621151_40	gene_37_contig_154566	81.111	90	17	0	127	216	180	269	4.199999999999999e-37	130.0	gene_37_contig_154566	46349	47575	SAMEA2621085_65	SAMEA2619923_17	46349	47575
gene_100_SAMEA2621151_40	gene_37_contig_154566	81.111	90	17	0	127	216	180	269	4.199999999999999e-37	130.0	gene_37_contig_154566	46349	47575	SAMEA2621085_65	SAMEA2619923_17	46349	47575
gene_13_contig_156409	gene_91_contig_155688	80.435	92	18	0	3	94	10	101	3.0599999999999996e-50	151.0	gene_91_contig_155688	84268	84672	SAMEA2621085_65	SAMEA2619923_17	84268	84672
gene_14_SAMEA2621085_65	gene_91_contig_155688	83.333	102	15	2	1	101	1	101	1.5499999999999998e-55	165.0	gene_91_contig_155688	84268	84672	SAMEA2621085_65	SAMEA2619923_17	84268	84672
gene_14_contig_156409	gene_93_contig_155688	95.652	46	2	0	1	46	7	52	2.56e-26	86.3	gene_93_contig_155688	84872	85030	SAMEA2621085_65	SAMEA2619923_17	84872	85030
gene_13_SAMEA2621085_65	gene_93_contig_155688	92.5	40	3	0	1	40	1	40	9.07e-24	80.1	gene_93_contig_155688	84872	85030	SAMEA2621085_65	SAMEA2619923_17	84872	85030
gene_15_contig_156409	gene_40_contig_154566	82.69200000000001	104	18	0	3	106	156	259	2.7299999999999998e-56	171.0	gene_40_contig_154566	48586	49365	SAMEA2621085_65	SAMEA2619923_17	48586	49365
gene_66_contig_155688	gene_40_contig_154566	76.786	112	20	1	7	112	148	259	4.79e-55	168.0	gene_40_contig_154566	48586	49365	SAMEA2621085_65	SAMEA2619923_17	48586	49365
gene_66_contig_155688	gene_40_contig_154566	76.786	112	20	1	7	112	148	259	4.79e-55	168.0	gene_40_contig_154566	48586	49365	SAMEA2621085_65	SAMEA2619923_17	48586	49365
gene_15_contig_156409	gene_40_contig_154566	82.69200000000001	104	18	0	3	106	156	259	2.7299999999999998e-56	171.0	gene_40_contig_154566	48586	49365	SAMEA2621085_65	SAMEA2619923_17	48586	49365
gene_12_SAMEA2621085_65	gene_40_contig_154566	92.30799999999999	104	8	0	3	106	156	259	6.389999999999999e-65	193.0	gene_40_contig_154566	48586	49365	SAMEA2621085_65	SAMEA2619923_17	48586	49365
gene_98_SAMEA2621151_40	gene_40_contig_154566	77.686	121	25	1	20	138	139	259	2.5399999999999996e-64	193.0	gene_40_contig_154566	48586	49365	SAMEA2621085_65	SAMEA2619923_17	48586	49365
gene_98_SAMEA2621151_40	gene_40_contig_154566	77.686	121	25	1	20	138	139	259	2.5399999999999996e-64	193.0	gene_40_contig_154566	48586	49365	SAMEA2621085_65	SAMEA2619923_17	48586	49365
gene_15_contig_156409	gene_66_contig_155688	80.952	105	15	1	2	106	13	112	7.019999999999999e-54	160.0	gene_66_contig_155688	44124	44462	SAMEA2621085_65	SAMEA2619923_17	44124	44462
gene_40_contig_154566	gene_66_contig_155688	76.786	112	20	1	148	259	7	112	9.409999999999999e-55	168.0	gene_66_contig_155688	44124	44462	SAMEA2621085_65	SAMEA2619923_17	44124	44462
gene_12_SAMEA2621085_65	gene_66_contig_155688	85.10600000000001	94	14	0	13	106	19	112	1.4599999999999998e-51	154.0	gene_66_contig_155688	44124	44462	SAMEA2621085_65	SAMEA2619923_17	44124	44462
gene_98_SAMEA2621151_40	gene_66_contig_155688	77.273	110	21	2	29	138	7	112	3.13e-54	162.0	gene_66_contig_155688	44124	44462	SAMEA2621085_65	SAMEA2619923_17	44124	44462
gene_18_contig_156409	gene_60_contig_155688	51.244	201	93	2	1	197	21	220	3.219999999999999e-76	224.0	gene_60_contig_155688	36584	37249	SAMEA2621085_65	SAMEA2619923_17	36584	37249
gene_95_contig_154566	gene_60_contig_155688	50.49	204	97	3	1	204	21	220	2.7899999999999995e-72	214.0	gene_60_contig_155688	36584	37249	SAMEA2621085_65	SAMEA2619923_17	36584	37249
gene_56_SAMEA2619923_17	gene_60_contig_155688	53.233999999999995	201	87	3	3	200	24	220	1.6e-74	220.0	gene_60_contig_155688	36584	37249	SAMEA2621085_65	SAMEA2619923_17	36584	37249
gene_62_SAMEA2621085_65	gene_60_contig_155688	58.128	203	82	3	1	203	21	220	6.9599999999999985e-87	251.0	gene_60_contig_155688	36584	37249	SAMEA2621085_65	SAMEA2619923_17	36584	37249
gene_54_SAMEA2621151_40	gene_60_contig_155688	58.416000000000004	202	82	2	1	202	21	220	1.3899999999999999e-86	251.0	gene_60_contig_155688	36584	37249	SAMEA2621085_65	SAMEA2619923_17	36584	37249
gene_24_contig_155688	gene_63_contig_154566	75.0	140	35	0	1	140	25	164	9.919999999999999e-77	221.0	gene_63_contig_154566	66279	66779	SAMEA2621085_65	SAMEA2619923_17	66279	66779
gene_41_contig_156409	gene_63_contig_154566	58.47	183	58	3	1	183	1	165	2.8799999999999994e-72	212.0	gene_63_contig_154566	66279	66779	SAMEA2621085_65	SAMEA2619923_17	66279	66779
gene_24_contig_155688	gene_63_contig_154566	75.0	140	35	0	1	140	25	164	9.919999999999999e-77	221.0	gene_63_contig_154566	66279	66779	SAMEA2621085_65	SAMEA2619923_17	66279	66779
gene_41_contig_156409	gene_63_contig_154566	58.47	183	58	3	1	183	1	165	2.8799999999999994e-72	212.0	gene_63_contig_154566	66279	66779	SAMEA2621085_65	SAMEA2619923_17	66279	66779
gene_82_SAMEA2619923_17	gene_63_contig_154566	71.831	142	38	1	1	142	25	164	3.239999999999999e-74	215.0	gene_63_contig_154566	66279	66779	SAMEA2621085_65	SAMEA2619923_17	66279	66779
gene_94_SAMEA2621085_65	gene_63_contig_154566	68.824	170	49	2	1	170	1	166	1.0699999999999999e-81	235.0	gene_63_contig_154566	66279	66779	SAMEA2621085_65	SAMEA2619923_17	66279	66779
gene_24_SAMEA2621151_40	gene_63_contig_154566	57.225	173	65	1	1	173	1	164	8.639999999999999e-71	207.0	gene_63_contig_154566	66279	66779	SAMEA2621085_65	SAMEA2619923_17	66279	66779
gene_24_SAMEA2621151_40	gene_63_contig_154566	57.225	173	65	1	1	173	1	164	8.639999999999999e-71	207.0	gene_63_contig_154566	66279	66779	SAMEA2621085_65	SAMEA2619923_17	66279	66779
gene_41_contig_156409	gene_24_contig_155688	55.975	159	52	3	25	183	1	141	9.37e-55	167.0	gene_24_contig_155688	14875	15309	SAMEA2621085_65	SAMEA2619923_17	14875	15309
gene_63_contig_154566	gene_24_contig_155688	75.0	140	35	0	25	164	1	140	1.1399999999999998e-76	221.0	gene_24_contig_155688	14875	15309	SAMEA2621085_65	SAMEA2619923_17	14875	15309
gene_82_SAMEA2619923_17	gene_24_contig_155688	75.342	146	34	1	1	146	1	144	4.749999999999999e-79	226.0	gene_24_contig_155688	14875	15309	SAMEA2621085_65	SAMEA2619923_17	14875	15309
gene_94_SAMEA2621085_65	gene_24_contig_155688	64.583	144	47	2	25	168	1	140	3.0499999999999997e-61	182.0	gene_24_contig_155688	14875	15309	SAMEA2621085_65	SAMEA2619923_17	14875	15309
gene_24_SAMEA2621151_40	gene_24_contig_155688	56.863	153	57	1	25	177	1	144	2.29e-59	178.0	gene_24_contig_155688	14875	15309	SAMEA2621085_65	SAMEA2619923_17	14875	15309
gene_4_contig_156409	gene_103_contig_154566	57.273	110	40	2	131	240	174	276	7.03e-25	105.0	gene_103_contig_154566	96497	97951	SAMEA2621085_65	SAMEA2619923_17	96497	97951
gene_4_contig_156409	gene_103_contig_154566	57.273	110	40	2	131	240	174	276	7.03e-25	105.0	gene_103_contig_154566	96497	97951	SAMEA2621085_65	SAMEA2619923_17	96497	97951
gene_51_contig_155688	gene_85_contig_154566	51.995	752	318	10	1	733	58	785	0.0	778.0	gene_85_contig_154566	78466	80844	SAMEA2621085_65	SAMEA2619923_17	78466	80844
gene_51_contig_155688	gene_85_contig_154566	51.995	752	318	10	1	733	58	785	0.0	778.0	gene_85_contig_154566	78466	80844	SAMEA2621085_65	SAMEA2619923_17	78466	80844
gene_69_SAMEA2621085_65	gene_85_contig_154566	50.251000000000005	796	376	7	16	795	1	792	0.0	808.0	gene_85_contig_154566	78466	80844	SAMEA2621085_65	SAMEA2619923_17	78466	80844
gene_57_contig_155688	gene_91_contig_154566	60.909	110	43	0	1	110	1	110	1.8800000000000001e-47	153.0	gene_91_contig_154566	82857	83192	SAMEA2621085_65	SAMEA2619923_17	82857	83192
gene_57_contig_155688	gene_91_contig_154566	60.909	110	43	0	1	110	1	110	1.8800000000000001e-47	153.0	gene_91_contig_154566	82857	83192	SAMEA2621085_65	SAMEA2619923_17	82857	83192
gene_61_SAMEA2619923_17	gene_91_contig_154566	52.885	104	48	1	3	106	4	106	1.02e-32	114.0	gene_91_contig_154566	82857	83192	SAMEA2621085_65	SAMEA2619923_17	82857	83192
gene_66_SAMEA2621085_65	gene_91_contig_154566	62.727	110	41	0	4	113	1	110	6.99e-48	154.0	gene_91_contig_154566	82857	83192	SAMEA2621085_65	SAMEA2619923_17	82857	83192
gene_51_SAMEA2621151_40	gene_91_contig_154566	52.727	110	52	0	1	110	1	110	8.06e-38	128.0	gene_91_contig_154566	82857	83192	SAMEA2621085_65	SAMEA2619923_17	82857	83192
gene_51_SAMEA2621151_40	gene_91_contig_154566	52.727	110	52	0	1	110	1	110	8.06e-38	128.0	gene_91_contig_154566	82857	83192	SAMEA2621085_65	SAMEA2619923_17	82857	83192
gene_58_contig_155688	gene_93_contig_154566	66.22800000000001	228	76	1	6	233	1	227	8.879999999999997e-119	334.0	gene_93_contig_154566	84211	84900	SAMEA2621085_65	SAMEA2619923_17	84211	84900
gene_58_contig_155688	gene_93_contig_154566	66.22800000000001	228	76	1	6	233	1	227	8.879999999999997e-119	334.0	gene_93_contig_154566	84211	84900	SAMEA2621085_65	SAMEA2619923_17	84211	84900
gene_64_SAMEA2621085_65	gene_93_contig_154566	71.806	227	64	0	6	232	1	227	4.889999999999999e-133	370.0	gene_93_contig_154566	84211	84900	SAMEA2621085_65	SAMEA2619923_17	84211	84900
gene_52_SAMEA2621151_40	gene_93_contig_154566	64.47399999999999	228	76	1	5	227	1	228	2.1699999999999993e-108	307.0	gene_93_contig_154566	84211	84900	SAMEA2621085_65	SAMEA2619923_17	84211	84900
gene_52_SAMEA2621151_40	gene_93_contig_154566	64.47399999999999	228	76	1	5	227	1	228	2.1699999999999993e-108	307.0	gene_93_contig_154566	84211	84900	SAMEA2621085_65	SAMEA2619923_17	84211	84900
gene_60_contig_155688	gene_95_contig_154566	50.49	204	97	3	21	220	1	204	3.0099999999999994e-72	214.0	gene_95_contig_154566	86354	86971	SAMEA2621085_65	SAMEA2619923_17	86354	86971
gene_60_contig_155688	gene_95_contig_154566	50.49	204	97	3	21	220	1	204	3.0099999999999994e-72	214.0	gene_95_contig_154566	86354	86971	SAMEA2621085_65	SAMEA2619923_17	86354	86971
gene_62_SAMEA2621085_65	gene_95_contig_154566	54.63399999999999	205	90	3	1	203	1	204	8.339999999999999e-76	223.0	gene_95_contig_154566	86354	86971	SAMEA2621085_65	SAMEA2619923_17	86354	86971
gene_54_SAMEA2621151_40	gene_95_contig_154566	57.353	204	85	2	1	202	1	204	4.0799999999999997e-82	239.0	gene_95_contig_154566	86354	86971	SAMEA2621085_65	SAMEA2619923_17	86354	86971
gene_54_SAMEA2621151_40	gene_95_contig_154566	57.353	204	85	2	1	202	1	204	4.0799999999999997e-82	239.0	gene_95_contig_154566	86354	86971	SAMEA2621085_65	SAMEA2619923_17	86354	86971
gene_61_contig_155688	gene_96_contig_154566	60.835	503	191	5	5	506	2	499	0.0	619.0	gene_96_contig_154566	86968	88467	SAMEA2621085_65	SAMEA2619923_17	86968	88467
gene_61_contig_155688	gene_96_contig_154566	60.835	503	191	5	5	506	2	499	0.0	619.0	gene_96_contig_154566	86968	88467	SAMEA2621085_65	SAMEA2619923_17	86968	88467
gene_55_SAMEA2619923_17	gene_96_contig_154566	54.455	505	217	8	5	503	2	499	0.0	527.0	gene_96_contig_154566	86968	88467	SAMEA2621085_65	SAMEA2619923_17	86968	88467
gene_60_SAMEA2621085_65	gene_96_contig_154566	55.876000000000005	485	212	2	12	496	14	496	0.0	553.0	gene_96_contig_154566	86968	88467	SAMEA2621085_65	SAMEA2619923_17	86968	88467
gene_63_contig_155688	gene_106_contig_154566	53.846000000000004	104	48	0	1	104	10	113	4.3899999999999994e-43	133.0	gene_106_contig_154566	100796	101140	SAMEA2621085_65	SAMEA2619923_17	100796	101140
gene_63_contig_155688	gene_106_contig_154566	53.846000000000004	104	48	0	1	104	10	113	4.3899999999999994e-43	133.0	gene_106_contig_154566	100796	101140	SAMEA2621085_65	SAMEA2619923_17	100796	101140
gene_52_SAMEA2621085_65	gene_106_contig_154566	59.13	115	46	1	1	115	1	114	1.73e-48	147.0	gene_106_contig_154566	100796	101140	SAMEA2621085_65	SAMEA2619923_17	100796	101140
gene_62_SAMEA2621151_40	gene_106_contig_154566	64.035	114	41	0	1	114	1	114	3.329999999999999e-57	169.0	gene_106_contig_154566	100796	101140	SAMEA2621085_65	SAMEA2619923_17	100796	101140
gene_62_SAMEA2621151_40	gene_106_contig_154566	64.035	114	41	0	1	114	1	114	3.329999999999999e-57	169.0	gene_106_contig_154566	100796	101140	SAMEA2621085_65	SAMEA2619923_17	100796	101140
gene_67_contig_155688	gene_1_contig_154566	51.601000000000006	781	340	18	4822	5572	4434	5206	0.0	766.0	gene_1_contig_154566	1	102800	SAMEA2621085_65	SAMEA2619923_17	1	102800
gene_67_contig_155688	gene_1_contig_154566	52.316	367	165	6	370	729	1	364	1.1199999999999998e-99	359.0	gene_1_contig_154566	1	102800	SAMEA2621085_65	SAMEA2619923_17	1	102800
gene_67_contig_155688	gene_1_contig_154566	51.601000000000006	781	340	18	4822	5572	4434	5206	0.0	766.0	gene_1_contig_154566	1	102800	SAMEA2621085_65	SAMEA2619923_17	1	102800
gene_67_contig_155688	gene_1_contig_154566	52.316	367	165	6	370	729	1	364	1.1199999999999998e-99	359.0	gene_1_contig_154566	1	102800	SAMEA2621085_65	SAMEA2619923_17	1	102800
gene_64_SAMEA2621151_40	gene_1_contig_154566	50.141999999999996	4928	2062	109	799	5500	448	5206	0.0	4475.0	gene_1_contig_154566	1	102800	SAMEA2621085_65	SAMEA2619923_17	1	102800
gene_64_SAMEA2621151_40	gene_1_contig_154566	50.141999999999996	4928	2062	109	799	5500	448	5206	0.0	4475.0	gene_1_contig_154566	1	102800	SAMEA2621085_65	SAMEA2619923_17	1	102800
gene_70_contig_156409	gene_103_contig_155688	61.538000000000004	78	30	0	1	78	1	78	1.59e-31	102.0	gene_103_contig_155688	95439	95693	SAMEA2621085_65	SAMEA2619923_17	95439	95693
gene_35_contig_154566	gene_103_contig_155688	56.25	80	35	0	1	80	1	80	2.0899999999999998e-26	89.0	gene_103_contig_155688	95439	95693	SAMEA2621085_65	SAMEA2619923_17	95439	95693
gene_14_SAMEA2619923_17	gene_103_contig_155688	52.174	69	33	0	1	69	1	69	1.4599999999999998e-23	81.6	gene_103_contig_155688	95439	95693	SAMEA2621085_65	SAMEA2619923_17	95439	95693
gene_16_SAMEA2621085_65	gene_103_contig_155688	56.626999999999995	83	36	0	1	83	1	83	1.06e-28	94.7	gene_103_contig_155688	95439	95693	SAMEA2621085_65	SAMEA2619923_17	95439	95693
gene_96_SAMEA2621151_40	gene_103_contig_155688	53.086000000000006	81	38	0	13	93	3	83	5.249999999999999e-26	88.6	gene_103_contig_155688	95439	95693	SAMEA2621085_65	SAMEA2619923_17	95439	95693
gene_71_contig_156409	gene_102_contig_155688	53.75	240	106	3	1	238	1	237	1.88e-95	275.0	gene_102_contig_155688	94723	95439	SAMEA2621085_65	SAMEA2619923_17	94723	95439
gene_34_contig_154566	gene_102_contig_155688	70.085	234	70	0	4	237	5	238	3.359999999999999e-131	366.0	gene_102_contig_155688	94723	95439	SAMEA2621085_65	SAMEA2619923_17	94723	95439
gene_15_SAMEA2619923_17	gene_102_contig_155688	66.667	234	78	0	7	240	5	238	1.9699999999999995e-123	346.0	gene_102_contig_155688	94723	95439	SAMEA2621085_65	SAMEA2619923_17	94723	95439
gene_17_SAMEA2621085_65	gene_102_contig_155688	73.932	234	61	0	4	237	5	238	4.829999999999999e-132	368.0	gene_102_contig_155688	94723	95439	SAMEA2621085_65	SAMEA2619923_17	94723	95439
gene_95_SAMEA2621151_40	gene_102_contig_155688	68.22	236	73	1	1	234	1	236	1.2799999999999999e-121	342.0	gene_102_contig_155688	94723	95439	SAMEA2621085_65	SAMEA2619923_17	94723	95439
gene_74_contig_155688	gene_9_contig_154566	65.101	149	52	0	1	149	1	149	2.39e-71	207.0	gene_9_contig_154566	19096	19545	SAMEA2621085_65	SAMEA2619923_17	19096	19545
gene_96_contig_156409	gene_9_contig_154566	55.63399999999999	142	63	0	4	145	7	148	6.76e-61	181.0	gene_9_contig_154566	19096	19545	SAMEA2621085_65	SAMEA2619923_17	19096	19545
gene_74_contig_155688	gene_9_contig_154566	65.101	149	52	0	1	149	1	149	2.39e-71	207.0	gene_9_contig_154566	19096	19545	SAMEA2621085_65	SAMEA2619923_17	19096	19545
gene_96_contig_156409	gene_9_contig_154566	55.63399999999999	142	63	0	4	145	7	148	6.76e-61	181.0	gene_9_contig_154566	19096	19545	SAMEA2621085_65	SAMEA2619923_17	19096	19545
gene_42_SAMEA2619923_17	gene_9_contig_154566	65.101	149	51	1	1	148	1	149	4.749999999999999e-73	211.0	gene_9_contig_154566	19096	19545	SAMEA2621085_65	SAMEA2619923_17	19096	19545
gene_43_SAMEA2621085_65	gene_9_contig_154566	72.483	149	41	0	1	149	1	149	8.06e-80	229.0	gene_9_contig_154566	19096	19545	SAMEA2621085_65	SAMEA2619923_17	19096	19545
gene_72_SAMEA2621151_40	gene_9_contig_154566	83.221	149	25	0	1	149	1	149	3.189999999999999e-92	260.0	gene_9_contig_154566	19096	19545	SAMEA2621085_65	SAMEA2619923_17	19096	19545
gene_72_SAMEA2621151_40	gene_9_contig_154566	83.221	149	25	0	1	149	1	149	3.189999999999999e-92	260.0	gene_9_contig_154566	19096	19545	SAMEA2621085_65	SAMEA2619923_17	19096	19545
gene_76_contig_155688	gene_11_contig_154566	58.172	569	187	12	1	528	1	559	0.0	628.0	gene_11_contig_154566	19880	21562	SAMEA2621085_65	SAMEA2619923_17	19880	21562
gene_76_contig_155688	gene_11_contig_154566	58.172	569	187	12	1	528	1	559	0.0	628.0	gene_11_contig_154566	19880	21562	SAMEA2621085_65	SAMEA2619923_17	19880	21562
gene_41_SAMEA2619923_17	gene_11_contig_154566	62.075	559	173	8	1	520	1	559	0.0	659.0	gene_11_contig_154566	19880	21562	SAMEA2621085_65	SAMEA2619923_17	19880	21562
gene_41_SAMEA2621085_65	gene_11_contig_154566	60.286	559	183	9	1	520	1	559	0.0	666.0	gene_11_contig_154566	19880	21562	SAMEA2621085_65	SAMEA2619923_17	19880	21562
gene_74_SAMEA2621151_40	gene_11_contig_154566	60.531000000000006	565	179	13	1	527	1	559	0.0	640.0	gene_11_contig_154566	19880	21562	SAMEA2621085_65	SAMEA2619923_17	19880	21562
gene_74_SAMEA2621151_40	gene_11_contig_154566	60.531000000000006	565	179	13	1	527	1	559	0.0	640.0	gene_11_contig_154566	19880	21562	SAMEA2621085_65	SAMEA2619923_17	19880	21562
gene_78_contig_155688	gene_12_contig_154566	65.079	63	22	0	21	83	36	98	2.5599999999999998e-30	99.4	gene_12_contig_154566	21562	21861	SAMEA2621085_65	SAMEA2619923_17	21562	21861
gene_78_contig_155688	gene_12_contig_154566	65.079	63	22	0	21	83	36	98	2.5599999999999998e-30	99.4	gene_12_contig_154566	21562	21861	SAMEA2621085_65	SAMEA2619923_17	21562	21861
gene_39_SAMEA2619923_17	gene_12_contig_154566	55.681999999999995	88	39	0	6	93	7	94	4.299999999999999e-34	109.0	gene_12_contig_154566	21562	21861	SAMEA2621085_65	SAMEA2619923_17	21562	21861
gene_39_SAMEA2621085_65	gene_12_contig_154566	59.341	91	37	0	1	91	1	91	1.72e-39	123.0	gene_12_contig_154566	21562	21861	SAMEA2621085_65	SAMEA2619923_17	21562	21861
gene_75_SAMEA2621151_40	gene_12_contig_154566	50.505	99	47	2	1	97	1	99	3.62e-33	107.0	gene_12_contig_154566	21562	21861	SAMEA2621085_65	SAMEA2619923_17	21562	21861
gene_75_SAMEA2621151_40	gene_12_contig_154566	50.505	99	47	2	1	97	1	99	3.62e-33	107.0	gene_12_contig_154566	21562	21861	SAMEA2621085_65	SAMEA2619923_17	21562	21861
gene_80_contig_156409	gene_94_contig_155688	51.992	477	217	4	1	466	1	476	0.0	513.0	gene_94_contig_155688	85221	86702	SAMEA2621085_65	SAMEA2619923_17	85221	86702
gene_25_contig_154566	gene_94_contig_155688	73.482	494	124	2	4	493	3	493	0.0	779.0	gene_94_contig_155688	85221	86702	SAMEA2621085_65	SAMEA2619923_17	85221	86702
gene_23_SAMEA2619923_17	gene_94_contig_155688	71.869	487	136	1	7	493	5	490	0.0	757.0	gene_94_contig_155688	85221	86702	SAMEA2621085_65	SAMEA2619923_17	85221	86702
gene_27_SAMEA2621085_65	gene_94_contig_155688	76.065	493	115	1	2	491	1	493	0.0	808.0	gene_94_contig_155688	85221	86702	SAMEA2621085_65	SAMEA2619923_17	85221	86702
gene_86_SAMEA2621151_40	gene_94_contig_155688	72.561	492	131	1	4	491	2	493	0.0	775.0	gene_94_contig_155688	85221	86702	SAMEA2621085_65	SAMEA2619923_17	85221	86702
gene_82_contig_156409	gene_23_contig_154566	56.61600000000001	597	233	9	1	594	1	574	0.0	683.0	gene_23_contig_154566	32577	34319	SAMEA2621085_65	SAMEA2619923_17	32577	34319
gene_89_contig_155688	gene_23_contig_154566	65.541	592	191	5	1	592	1	579	0.0	793.0	gene_23_contig_154566	32577	34319	SAMEA2621085_65	SAMEA2619923_17	32577	34319
