	start1	end1	start2	end2
241	1	11	1	11
242	2	42	167	202
243	1	105	1	105
244	27	105	4	82
245	27	90	1	64
246	13	87	5	85
247	28	93	6	71
248	34	100	25	91
249	34	90	10	67
250	17	85	10	74
251	34	93	2	62
252	30	71	1	48
253	53	97	45	93
254	12	91	411	503
255	63	104	13	53
256	5	23	403	423
257	69	103	96	136
258	21	42	139	164
259	1	242	1	242
260	7	150	30	182
261	42	86	2933	2977
262	86	206	20	149
263	99	143	4050	4092
264	204	239	59	94
265	111	155	26	76
266	114	149	211	247
267	174	225	240	295
268	6	24	21	39
269	172	206	26	71
270	194	226	162	192
271	55	75	173	193
272	1	356	1	356
273	2	172	107	273
274	209	230	248	266
275	267	305	3	37
276	197	230	104	134
277	94	154	2576	2645
278	108	153	23	68
279	1	14	1	14
280	1	48	1	44
281	1	24	3	26
282	1	15	1	15
283	173	209	105	155
284	1	25	1	26
285	1	112	1	102
286	301	336	289	324
287	1	14	63	76
288	1	110	1	110
289	2	66	5	68
290	3	103	21	116
291	2	59	23	84
292	76	110	13	41
293	28	70	174	215
294	74	110	17	45
295	77	110	17	50
296	28	65	164	200
297	28	65	162	198
298	77	110	17	44
299	4	42	91	131
300	69	98	272	301
301	70	91	15	36
302	20	53	337	370
303	42	94	278	330
304	70	88	2	20
305	1	29	336	364
306	1	46	1	46
307	1	26	1	26
308	7	45	31	69
309	1	45	126	166
310	1	29	48	76
311	13	39	32	58
312	11	44	31	64
313	10	32	323	346
314	20	35	28	43
315	3	28	125	148
316	25	36	96	107
317	24	41	67	84
318	13	35	2	20
319	20	38	335	353
320	1	790	1	790
321	109	782	19	682
322	154	785	26	642
323	106	783	166	843
324	9	73	1	65
325	130	770	23	647
326	70	523	151	604
327	6	73	10	77
328	121	773	14	644
329	598	781	20	187
330	168	228	1363	1424
331	148	199	1689	1737
332	308	341	807	840
333	405	469	123	191
334	730	789	10	72
335	178	234	8	57
336	588	628	36	76
337	758	789	9	40
338	1	417	1	417
339	2	417	11	428
340	1	417	11	431
341	1	417	1	369
342	18	411	26	409
343	10	411	2	408
344	18	411	13	391
345	18	411	14	406
346	13	232	12	218
347	23	411	20	451
348	23	413	20	459
349	6	171	8	172
350	12	170	15	172
351	291	411	342	459
352	362	415	4441	4493
353	362	408	3802	3849
354	182	235	326	378
355	245	286	27	67
356	291	411	335	454
357	290	411	332	453
358	344	377	25	58
359	163	215	67	125
360	135	195	210	268
361	175	344	156	328
362	135	194	210	267
363	180	244	1751	1815
364	3	47	81	130
365	311	373	112	167
366	193	246	99	154
367	1	79	1	79
368	50	76	40	66
369	54	68	585	599
370	1	1010	1	1010
371	438	679	1936	2169
372	578	610	680	715
373	226	254	1028	1056
374	812	979	841	989
375	378	394	753	769
376	619	723	404	511
377	186	217	2026	2057
378	905	1010	657	761
379	657	691	512	546
380	130	228	138	247
381	320	493	1276	1460
382	181	210	3212	3241
383	126	189	2877	2936
384	398	439	1700	1741
385	194	303	1910	2026
386	921	1010	471	559
387	305	364	126	175
388	812	970	676	811
389	68	163	670	754
390	695	719	245	269
391	806	941	316	436
392	68	161	378	460
393	812	902	384	462
394	417	442	1281	1306
395	297	359	1936	1988
396	934	1010	1345	1420
397	377	522	713	858
398	257	329	155	223
399	821	888	464	523
400	252	313	1324	1379
401	603	665	2700	2771
402	126	162	226	262
403	276	333	55	116
404	120	157	154	192
405	109	187	826	903
406	265	299	1590	1626
407	1	14	1	14
408	578	634	353	410
409	1	77	1	77
410	1	55	1	55
411	1	58	5	67
412	1	48	1	47
413	11	60	18	67
414	3	32	704	733
415	10	28	35	53
416	34	70	59	95
417	38	65	94	121
418	1	76	1	76
419	3	76	37	111
420	11	69	23	81
421	1	61	1	70
422	2	62	6	68
423	17	62	36	82
424	17	76	259	317
425	4	54	252	295
426	2	71	417	474
427	19	71	30	81
428	2	41	416	455
429	15	42	3	33
430	19	47	44	77
431	48	76	737	765
432	23	44	2518	2542
433	29	71	412	466
434	41	74	12	45
435	1	54	1	54
436	2	47	8	53
437	4	45	8	49
438	32	44	43	55
439	6	37	31	61
440	20	34	637	651
441	14	40	57	83
442	34	48	71	85
443	11	34	435	458
444	1	61	1	61
445	5	60	4	63
446	7	52	14	59
447	1	27	1	29
448	3	58	6	61
449	7	52	39	81
450	1	382	1	382
451	149	242	9	98
452	162	372	193	403
453	94	200	167	261
454	84	152	659	731
455	120	162	2571	2611
456	103	203	7	115
457	190	257	345	413
458	188	254	310	373
459	16	79	14	82
460	88	149	560	625
461	55	88	35	68
462	329	379	1732	1788
463	8	51	322	367
464	1	284	1	284
465	2	277	72	316
466	210	226	334	350
467	1	191	1	192
468	11	195	8	192
469	207	283	323	394
470	239	284	11	57
471	204	226	62	84
472	199	274	3	79
473	239	270	18	51
474	239	270	25	58
475	76	111	157	194
476	239	283	23	69
477	69	241	83	263
478	88	125	24	60
479	80	104	417	442
480	1	301	1	301
481	24	301	20	294
482	22	301	13	289
483	8	301	5	304
484	8	301	5	304
485	24	301	27	304
486	24	301	28	305
487	24	301	13	278
488	3	299	1	271
489	13	301	4	280
490	3	301	1	278
491	46	248	42	252
492	36	293	34	312
493	48	256	44	269
494	40	301	67	348
495	48	248	39	244
496	3	300	2	313
497	13	301	29	318
498	76	296	3	233
499	1	301	1	337
500	48	296	49	301
501	44	301	54	332
502	48	244	38	240
503	47	296	67	329
504	82	137	3283	3339
505	235	272	856	893
506	253	296	33	75
507	205	218	712	725
508	127	153	337	363
509	160	234	11	84
510	1	522	1	522
511	10	48	110	146
512	238	268	107	136
513	248	266	209	230
514	8	36	194	230
515	434	475	4	45
516	173	198	2	27
517	292	323	670	701
518	17	73	374	431
519	420	479	173	235
520	156	193	106	144
521	309	364	88	137
522	194	232	194	232
523	440	503	166	227
524	1	303	1	303
525	1	302	1	302
526	1	301	1	303
527	1	300	4	303
528	1	301	1	303
529	1	301	1	304
530	1	301	4	306
531	1	301	1	303
532	1	301	1	300
533	1	301	1	301
534	5	280	5	287
535	3	222	2	227
536	2	230	5	240
537	2	199	31	228
538	3	202	8	207
539	10	207	10	208
540	3	204	8	198
541	3	201	5	197
542	20	194	15	170
543	3	203	7	201
544	3	219	5	219
545	3	201	20	218
546	33	203	6	169
547	3	201	5	197
548	3	73	16	94
549	29	61	27	58
550	146	263	306	419
551	115	198	4	66
552	179	227	9	60
553	35	83	222	275
554	27	69	145	184
555	1	196	1	196
556	3	187	653	841
557	18	190	469	641
558	20	187	598	781
559	18	176	487	647
560	18	187	504	681
561	20	178	486	643
562	1	26	1	26
563	44	99	863	915
564	99	120	261	285
565	110	138	760	788
566	18	76	3	61
567	115	196	308	382
568	44	71	944	971
569	74	140	42	117
570	24	116	29	115
571	39	70	292	323
572	122	187	4	65
573	24	96	28	85
574	76	120	253	303
575	68	105	1262	1302
576	44	73	877	906
577	1	41	1	41
578	7	36	149	178
579	11	29	440	458
580	1	40	23	53
581	3	41	21	59
582	12	35	100	123
583	3	28	1892	1919
584	2	19	102	119
585	10	40	177	203
586	1	431	1	431
587	3	430	8	433
588	6	431	5	440
589	6	430	5	402
590	6	430	5	450
591	1	431	1	461
592	6	430	5	461
593	6	430	5	453
594	1	430	1	393
595	1	430	1	390
596	1	431	1	388
597	1	430	1	380
598	1	430	1	376
599	1	430	1	375
600	1	430	1	365
601	209	247	216	254
602	162	202	28	69
603	388	421	339	372
604	1	84	1	84
605	5	23	47	63
606	48	69	291	312
607	5	79	213	275
608	3	24	16	36
609	3	79	214	278
610	4	79	216	279
611	3	79	185	249
612	5	23	102	122
613	3	10	91	98
614	3	79	206	269
615	4	18	155	169
616	4	32	1142	1174
617	29	60	406	438
618	5	79	207	268
619	1	723	1	723
620	348	475	494	615
621	362	494	289	431
622	437	712	857	1163
623	141	207	592	652
624	465	527	558	625
625	158	231	1908	1970
626	463	574	358	472
627	461	505	1451	1496
628	469	561	1450	1555
629	471	722	611	863
630	361	480	2713	2834
631	468	519	2358	2409
632	356	528	159	316
633	360	378	681	699
634	362	392	423	453
635	362	461	65	173
636	140	227	207	287
637	336	378	1592	1631
638	566	721	690	841
639	537	612	23	92
640	61	100	22	61
641	156	207	80	130
642	435	487	420	475
643	320	366	372	427
644	172	227	245	298
645	657	675	72	90
646	1	76	1	76
647	6	75	9	78
648	1	72	4	75
649	1	75	1	76
650	1	72	1	74
651	1	73	3	78
652	7	76	4	73
653	5	75	2	71
654	30	72	416	454
655	22	73	35	107
656	9	72	406	455
657	21	72	34	104
658	12	72	22	100
659	22	72	39	108
660	22	73	36	109
661	54	73	447	466
662	9	74	24	105
663	40	71	27	58
664	12	72	399	452
665	16	46	5	39
666	1	24	26	49
667	54	75	436	457
668	15	72	359	410
669	54	72	442	460
670	63	76	1	14
671	40	61	105	126
672	5	72	343	392
673	10	28	438	456
674	10	57	6	53
675	9	67	302	359
676	1	41	184	222
677	15	76	113	177
678	14	27	8	21
679	7	32	51	76
680	65	75	11	21
681	11	50	81	120
682	25	60	1358	1390
683	1	152	1	152
684	11	151	3	132
685	10	151	2	132
686	11	151	3	131
687	11	151	3	131
688	12	83	4	75
689	18	152	3	127
690	10	152	2	126
691	11	144	3	126
692	83	110	204	231
693	83	110	210	237
694	12	73	4	62
695	82	117	783	818
696	107	136	109	137
697	110	133	44	67
698	1	238	1	238
699	1	237	1	239
700	5	238	4	237
701	14	238	13	237
702	5	238	7	240
703	1	236	1	234
704	1	237	1	238
705	19	223	18	205
706	19	223	15	202
707	29	223	28	206
708	29	223	25	203
709	171	214	279	322
710	70	123	145	199
711	72	113	209	250
712	171	215	33	77
713	105	195	61	152
714	1	137	1	137
715	3	58	98	152
716	21	64	169	207
717	14	29	486	501
718	55	121	64	124
719	44	112	1019	1085
720	1	36	1	45
721	36	64	19	49
722	89	122	667	700
723	95	133	167	205
724	75	113	243	285
725	35	108	469	546
726	96	130	14	53
727	19	33	68	82
728	30	62	111	145
729	8	120	179	298
730	1	413	1	413
731	3	411	6	403
732	245	411	214	371
733	26	411	41	407
734	3	275	4	254
735	345	411	2	69
736	204	333	975	1104
737	1	82	6	85
738	2	329	6	309
739	248	372	451	535
740	17	79	1	64
741	160	219	4988	5040
742	93	169	90	163
743	186	249	583	644
744	98	118	60	80
745	101	156	216	272
746	174	236	563	623
747	260	310	21	72
748	296	347	28	87
749	14	96	2531	2605
750	139	166	54	81
751	1	97	1	97
752	18	78	1190	1242
753	32	89	113	173
754	5	41	152	188
755	9	48	548	586
756	1	22	1	22
757	1	29	1	29
758	1	20	6	25
759	3	30	103	129
760	44	86	73	113
761	1	18	1	18
762	1	255	1	255
763	2	255	5	259
764	2	253	26	276
765	2	253	3	262
766	9	251	10	257
767	1	255	2	255
768	4	253	5	252
769	8	253	9	257
770	1	253	9	248
771	1	254	1	256
772	78	253	74	250
773	76	196	62	187
774	45	79	665	699
775	58	110	143	195
776	202	225	142	166
777	78	98	7	27
778	1	156	1	156
779	98	152	3	58
780	105	154	187	230
781	66	98	23	49
782	82	147	4	81
783	86	147	33	102
784	113	150	430	470
785	23	55	1303	1348
786	105	134	756	791
787	61	101	40	79
788	1	414	1	414
789	4	414	14	424
790	4	414	1	419
791	4	414	19	430
792	4	401	1	398
793	6	414	8	421
794	4	414	23	429
795	3	414	2	413
796	4	372	1	371
797	4	401	1	396
798	4	392	1	381
799	135	374	138	367
800	4	194	5	205
801	8	194	25	229
802	42	194	46	209
803	12	194	6	198
804	9	210	5	224
805	50	173	93	209
806	163	248	140	220
807	21	50	122	151
808	34	108	494	555
809	68	215	91	220
810	100	138	132	161
811	39	70	264	295
812	88	124	5	41
813	1	605	1	605
814	13	604	1	591
815	220	604	6	392
816	181	604	1	427
817	208	604	13	410
818	151	604	70	523
819	10	77	6	73
820	208	589	13	383
821	493	573	99	166
822	1	63	56	121
823	471	554	261	327
824	95	134	85	122
825	139	193	36	83
826	1	121	1	121
827	1	119	1	117
828	1	119	3	115
829	4	121	4	119
830	1	121	3	117
831	1	109	1	105
832	12	33	1	22
833	101	121	154	174
834	25	87	367	421
835	28	72	233	279
836	37	79	1844	1884
837	93	107	1279	1293
838	3	20	165	183
839	74	92	167	185
840	20	52	204	231
841	68	109	20	65
842	25	87	374	428
843	49	97	93	143
844	70	108	153	187
845	1	92	1	92
846	2	83	6	90
847	2	54	1	52
848	6	19	2	15
849	29	60	54	86
850	8	37	366	395
851	9	71	152	207
852	56	82	430	455
853	8	19	4	15
854	73	87	231	245
855	1	484	1	484
856	9	175	81	255
857	174	294	131	257
858	1	209	1	285
859	155	312	98	271
860	132	209	332	404
861	92	143	27	78
862	1	128	1	128
863	1	37	1	35
864	1	23	1	23
865	73	154	170	257
866	164	184	42	62
867	160	246	12	102
868	63	78	164	179
869	112	227	375	486
870	87	199	194	299
871	1	88	1	88
872	1	34	1	38
873	19	75	530	590
874	1	87	1	67
875	1	15	1	15
876	39	62	83	106
877	39	66	44	82
878	31	56	688	713
879	1	63	1	53
880	1	13	1	13
881	12	56	108	160
882	1	10	1	10
883	39	59	374	395
884	54	84	580	610
885	1	9	1	9
886	32	88	16	73
887	1	15	1	15
888	51	74	36	59
889	16	41	58	83
890	43	72	781	804
891	29	76	944	986
892	9	42	260	291
893	53	82	3	30
894	1	516	1	516
895	1	509	1	511
896	2	515	8	517
897	1	515	1	514
898	3	512	1	511
899	25	515	1	485
900	3	515	2	507
901	39	501	35	483
902	1	509	1	501
903	1	501	1	481
904	160	421	36	313
905	218	421	327	530
906	218	421	124	325
907	218	400	257	445
908	215	400	259	449
909	218	421	250	453
910	218	400	258	446
911	215	433	254	475
912	218	381	1423	1561
913	343	404	1734	1795
914	224	263	54	89
915	224	257	215	248
916	407	447	670	715
917	219	249	1438	1468
918	218	400	1436	1594
919	203	241	354	393
920	313	333	1451	1471
921	180	229	20	62
922	1	84	1	84
923	1	78	1	78
924	1	81	1	82
925	1	83	1	83
926	1	80	1	80
927	3	83	13	93
928	1	69	1	69
929	4	31	4487	4513
930	35	70	437	472
931	4	34	332	362
932	27	45	10	28
933	1	534	1	534
934	479	530	592	647
935	486	526	81	123
936	388	440	451	501
937	197	237	325	358
938	360	421	174	232
939	361	397	242	279
940	69	119	3649	3698
941	486	526	78	120
942	344	396	239	291
943	479	500	58	79
944	1	5043	1	5043
945	1420	5035	1329	5206
946	719	1325	440	1080
947	355	735	1	371
948	1420	5033	1655	5498
949	1	1321	1	1403
950	1420	4118	1720	4588
951	1	659	1	698
952	801	1319	1016	1545
953	4605	4899	5601	5885
954	4438	4590	5326	5457
955	4184	4389	4769	4951
956	4318	4424	5051	5158
957	631	788	757	905
958	4979	5020	6264	6316
959	4893	4995	6004	6088
960	1420	4329	1592	4784
961	1	1362	1	1400
962	4333	5033	4848	5570
963	1420	3627	1691	4077
964	3644	5034	4175	5542
965	667	1409	756	1498
966	1	653	1	661
967	3153	4289	4194	5394
968	1	1161	1	1221
969	2166	2954	2951	3828
970	1677	2155	2303	2848
971	4333	5034	5512	6242
972	1420	1612	1767	1988
973	3017	3130	4008	4103
974	1199	1325	1332	1463
975	33	344	4	346
976	4060	4176	106	230
977	2413	2490	68	147
978	4084	4189	426	536
979	1	146	1	146
980	10	133	1	117
981	25	124	50	149
982	9	143	69	208
983	13	52	450	491
984	97	142	147	190
985	6	36	3	31
986	101	123	2304	2326
987	104	130	1061	1085
988	26	107	4205	4272
989	4	44	49	93
990	1	577	1	577
991	1	577	1	556
992	1	577	1	561
993	1	577	1	564
994	1	574	1	563
995	1	577	1	563
996	16	577	11	535
997	1	577	1	549
998	1	577	1	550
999	1	577	1	542
1000	1	577	1	558
1001	1	577	4	560
1002	10	568	21	539
1003	7	568	10	538
1004	11	568	18	553
1005	1	567	1	502
1006	71	568	78	530
1007	1	577	1	505
1008	2	567	1	503
1009	57	567	3	490
1010	99	567	119	544
1011	1	567	1	498
1012	2	567	5	494
1013	2	567	1	503
1014	44	569	59	548
1015	9	567	7	490
1016	405	463	134	196
1017	138	162	73	97
1018	186	237	33	81
1019	69	88	29	48
1020	1	103	1	103
1021	45	89	34	78
1022	61	85	28	52
1023	4	60	219	275
1024	3	36	160	202
1025	80	102	122	144
1026	12	87	57	129
1027	35	74	1977	2016
1028	48	69	210	231
1029	59	82	117	140
1030	1	80	1	80
1031	4	70	5	71
1032	6	66	3	58
1033	6	66	23	78
1034	1	48	30	71
1035	7	80	260	326
1036	2	46	6	46
1037	9	53	10	52
1038	12	77	12	78
1039	43	64	63	85
1040	20	48	32	62
1041	8	45	111	144
1042	37	78	90	131
1043	2	72	79	160
1044	36	59	49	72
1045	7	33	256	282
1046	52	74	407	429
1047	47	76	104	133
1048	30	47	33	50
1049	43	72	400	425
1050	11	74	155	219
1051	39	54	51	66
1052	38	68	214	242
1053	47	70	27	50
1054	24	47	2	28
1055	13	59	16	59
1056	33	74	392	429
1057	1	317	1	317
1058	37	313	36	334
1059	259	311	5	53
1060	227	267	562	607
1061	175	194	89	108
1062	128	192	302	373
1063	1	119	1	119
1064	4	118	1	112
1065	26	119	3	95
1066	40	117	25	103
1067	71	99	40	72
1068	48	108	36	93
1069	83	98	110	125
1070	20	37	202	219
1071	83	98	65	80
1072	10	69	152	212
1073	20	38	202	220
1074	32	49	272	293
1075	20	63	89	128
1076	83	98	124	139
1077	42	119	544	618
1078	17	76	22	81
1079	88	115	127	154
1080	43	91	304	353
1081	20	32	202	214
1082	16	37	17	38
1083	30	78	136	187
1084	31	60	298	328
1085	41	89	640	689
1086	3	86	536	623
1087	1	140	1	140
1088	89	127	1760	1798
1089	13	64	211	260
1090	31	89	310	367
1091	122	140	360	378
1092	24	88	355	419
1093	41	85	1535	1580
1094	99	127	76	103
1095	13	81	332	399
1096	51	87	303	339
1097	1	348	1	348
1098	64	296	542	777
1099	188	346	646	801
1100	79	192	1454	1561
1101	68	164	348	440
1102	87	156	2188	2255
1103	74	111	356	394
1104	84	147	644	705
1105	203	278	475	552
1106	82	155	1161	1236
1107	203	267	76	131
1108	23	114	393	485
1109	251	337	752	832
1110	84	113	891	920
1111	182	229	464	514
1112	62	112	216	268
1113	62	113	449	498
1114	92	118	789	815
1115	1	93	1	93
1116	42	75	12	45
1117	1	43	1	34
1118	1	87	1	85
1119	8	51	953	994
1120	1	15	1	15
1121	21	44	54	76
1122	1	16	1	16
1123	13	29	50	66
1124	16	37	37	58
1125	5	46	134	173
1126	1	8	1	8
1127	44	58	592	606
1128	1	9	1	9
1129	1	74	1	74
1130	3	74	4	74
1131	8	61	7	60
1132	6	67	7	68
1133	8	74	7	74
1134	1	61	1	61
1135	8	61	7	60
1136	16	72	150	208
1137	7	70	65	144
1138	36	61	95	120
1139	43	64	61	82
1140	42	74	1680	1711
1141	27	73	19	64
1142	36	61	89	114
1143	45	72	411	442
1144	19	68	60	103
1145	39	54	1082	1097
1146	48	69	122	143
1147	22	37	81	96
1148	24	36	190	202
1149	13	43	210	240
1150	1	175	1	175
1151	4	172	14	188
1152	6	163	8	156
1153	10	168	28	188
1154	11	168	6	164
1155	9	124	11	128
1156	1	138	7	142
1157	127	163	412	451
1158	40	64	1088	1117
1159	131	155	3	29
1160	84	100	42	58
1161	122	153	3700	3731
1162	67	95	844	872
1163	15	39	155	179
1164	113	140	164	191
1165	109	120	41	52
1166	121	150	193	222
1167	1	74	1	74
1168	1	64	1	69
1169	1	36	4	42
1170	1	31	1	30
1171	1	64	1	64
1172	25	54	37	66
1173	1	19	1	19
1174	1	33	1	35
1175	1	15	1	15
1176	1	14	1	14
1177	1	12	1	12
1178	33	62	259	288
1179	1	37	1	42
1180	1	25	4	25
1181	1	34	1	30
1182	1	56	1	53
1183	1	9	3	11
1184	1	48	1	54
1185	23	74	32	89
1186	1	10	1	10
1187	24	38	37	52
1188	1	11	1	11
1189	1	9	1	9
1190	1	37	1	31
1191	1	156	1	156
1192	20	56	94	130
1193	1	42	1	39
1194	1	28	1	28
1195	1	26	248	278
1196	15	27	130	142
1197	1	251	1	251
1198	6	171	2	169
1199	112	248	240	381
1200	5	134	7	199
1201	112	134	237	259
1202	154	245	397	500
1203	5	140	7	187
1204	154	245	446	549
1205	104	179	163	242
1206	45	98	8	59
1207	99	139	12	52
1208	10	51	344	387
1209	1	304	1	304
1210	1	304	1	304
1211	1	304	1	304
1212	1	304	4	305
1213	19	304	7	289
1214	5	304	8	301
1215	16	304	9	294
1216	49	304	43	273
1217	46	304	47	278
1218	47	304	33	278
1219	47	304	35	280
1220	34	304	40	332
1221	49	304	62	337
1222	44	304	68	348
1223	61	296	56	312
1224	8	299	4	315
1225	79	299	4	233
1226	51	300	44	314
1227	51	302	39	309
1228	16	304	12	319
1229	43	296	42	320
1230	32	300	20	306
1231	34	304	38	318
1232	167	302	320	456
1233	71	102	524	555
1234	84	138	771	836
1235	240	298	8	63
1236	121	159	240	283
1237	134	163	18	50
1238	241	289	273	317
1239	243	285	75	113
1240	1	121	1	121
1241	15	109	34	128
1242	50	73	12	35
1243	49	105	367	433
1244	43	74	59	94
1245	37	50	648	661
1246	43	105	5	71
1247	3	29	126	147
1248	43	62	950	969
1249	52	94	129	163
1250	1	211	1	211
1251	144	209	33	97
1252	14	79	1	54
1253	186	209	112	137
1254	188	209	132	153
1255	174	206	13	45
1256	123	157	340	372
1257	1	612	1	612
1258	4	463	2	420
1259	28	412	9	353
1260	6	428	5	365
1261	28	410	10	381
1262	6	289	3	272
1263	332	454	465	566
1264	45	536	1	486
1265	417	565	261	400
1266	382	517	415	541
1267	432	474	445	486
1268	385	470	2461	2551
1269	434	468	2117	2150
1270	211	474	48	295
1271	437	470	1632	1664
1272	435	468	81	113
1273	375	492	1211	1325
1274	543	580	316	353
1275	286	328	564	606
1276	388	444	652	708
1277	1	107	1	107
1278	1	106	1	107
1279	1	104	1	110
1280	3	106	2	107
1281	5	106	429	531
1282	6	105	958	1059
1283	12	102	740	830
1284	6	100	332	420
1285	1	37	1	43
1286	15	53	28	66
1287	24	61	122	170
1288	1	56	1	33
1289	33	81	205	249
1290	10	47	85	129
1291	1	31	626	657
1292	1	17	1	17
1293	20	49	787	814
1294	1	16	1	16
1295	1	13	3	15
1296	69	85	532	548
1297	61	87	14	45
1298	35	57	261	283
1299	1	13	1	13
1300	1	29	1	30
1301	11	41	457	487
1302	36	75	51	90
1303	1	10	1	10
1304	1	133	1	133
1305	3	130	2	128
1306	5	133	4	137
1307	5	131	3	134
1308	1	132	1	131
1309	1	130	1	136
1310	33	130	1	97
1311	8	127	4	118
1312	7	127	10	123
1313	45	127	1	78
1314	28	127	7	99
1315	37	65	23	51
1316	32	67	235	272
1317	39	112	2469	2541
1318	46	77	489	520
1319	63	113	187	229
1320	20	34	31	45
1321	85	118	173	209
1322	89	114	7	32
1323	1	1002	1	1002
1324	908	999	123	214
1325	906	999	207	300
1326	910	1002	178	270
1327	916	1000	526	611
1328	901	999	243	340
1329	494	574	196	285
1330	888	925	253	291
1331	891	923	4	36
1332	920	952	73	105
1333	731	796	258	328
