chr	name	start	end	length	strand	orf_annotation	conserved_proteins
contig_155057	gene_40_contig_155057	22323	22622	99_aa	-	 hypothetical protein	
contig_155057	gene_41_contig_155057	22619	22987	122_aa	-	 hypothetical protein	
contig_155057	gene_42_contig_155057	22984	23136	50_aa	-	 hypothetical protein	
contig_155057	gene_43_contig_155057	23199	23507	102_aa	-	 hypothetical protein	
contig_155057	gene_44_contig_155057	23504	23809	101_aa	-	 hypothetical protein	
contig_155057	gene_45_contig_155057	23815	24099	94_aa	-	 hypothetical protein	
contig_155057	gene_46_contig_155057	24096	24311	71_aa	-	 hypothetical protein	
contig_155057	gene_47_contig_155057	24403	24651	82_aa	-	 hypothetical protein	
contig_155057	gene_48_contig_155057	24648	24947	99_aa	-	 hypothetical protein	
contig_155057	gene_49_contig_155057	24944	25297	117_aa	-	 hypothetical protein	
contig_155057	gene_50_contig_155057	25336	25860	174_aa	-	 hypothetical protein	
contig_155057	gene_51_contig_155057	26003	26233	76_aa	-	 hypothetical protein	
contig_155057	gene_52_contig_155057	26233	26496	87_aa	+	 hypothetical protein	
contig_155057	gene_53_contig_155057	26988	27176	62_aa	-	 hypothetical protein	
contig_155057	gene_54_contig_155057	27169	27450	93_aa	-	 hypothetical protein	
contig_155057	gene_55_contig_155057	28907	29026	39_aa	+	 hypothetical protein	
contig_155057	gene_56_contig_155057	29032	29193	53_aa	+	 hypothetical protein	
contig_155057	gene_57_contig_155057	29646	29792	48_aa	+	 hypothetical protein	
contig_155057	gene_58_contig_155057	30212	31318	368_aa	+	 hypothetical protein	
contig_155057	gene_59_contig_155057	31369	31563	64_aa	-	 hypothetical protein	
contig_155057	gene_60_contig_155057	31748	33250	500_aa	-	terminase	terminase
contig_155057	gene_61_contig_155057	33605	35062	485_aa	-	UvrD-like helicase/homing endonuclease	UvrD-like helicase/homing endonuclease
contig_155057	gene_62_contig_155057	35520	36893	457_aa	+	phage portal protein	phage portal protein
contig_155057	gene_63_contig_155057	36923	37318	131_aa	+	 hypothetical protein	
contig_155057	gene_64_contig_155057	37315	39711	798_aa	+	phage prohead protease	phage prohead protease
contig_155057	gene_65_contig_155057	39713	40129	138_aa	+	 hypothetical protein	
contig_155057	gene_66_contig_155057	40160	41092	310_aa	+	major capsid protein	major capsid protein
contig_155057	gene_67_contig_155057	41094	41570	158_aa	+	 hypothetical protein	
contig_155057	gene_68_contig_155057	41711	42085	124_aa	+	 hypothetical protein	
contig_155057	gene_69_contig_155057	42057	42449	130_aa	+	 hypothetical protein	
contig_155057	gene_70_contig_155057	42460	44478	672_aa	+	 hypothetical protein	
contig_155057	gene_71_contig_155057	44490	44660	56_aa	+	 hypothetical protein	
contig_155057	gene_72_contig_155057	44666	44935	89_aa	+	SAP domain	
contig_155057	gene_73_contig_155057	44932	45180	82_aa	+	 hypothetical protein	
contig_155057	gene_74_contig_155057	45332	45829	165_aa	+	 hypothetical protein	
contig_155057	gene_75_contig_155057	45829	46389	186_aa	+	 hypothetical protein	
contig_155057	gene_76_contig_155057	46386	47453	355_aa	+	 hypothetical protein	
contig_155057	gene_77_contig_155057	47507	48520	337_aa	+	 hypothetical protein	
contig_155057	gene_78_contig_155057	48532	48729	65_aa	+	 hypothetical protein	
contig_155057	gene_79_contig_155057	48757	49119	120_aa	+	 hypothetical protein	
contig_155057	gene_80_contig_155057	49134	49397	87_aa	+	 hypothetical protein	
contig_155057	gene_81_contig_155057	49417	53133	1238_aa	+	Phage-related minor tail protein	
contig_155057	gene_82_contig_155057	53760	60059	2099_aa	+	 hypothetical protein	
contig_155057	gene_83_contig_155057	60046	60771	241_aa	-	ERCC4-type nuclease, gene20	ERCC4-type nuclease, gene20
contig_155057	gene_84_contig_155057	60786	61649	287_aa	-	Primase AE_Prim_S, gene21	Primase AE_Prim_S, gene21
contig_155057	gene_85_contig_155057	61914	62804	296_aa	-	Cas4_I-A_I-B_I-C_I-D_II-B Superfamily, gene24	Cas4_I-A_I-B_I-C_I-D_II-B Superfamily, gene24
contig_155057	gene_86_contig_155057	62835	63116	93_aa	-	 hypothetical protein	
contig_155057	gene_87_contig_155057	63146	63472	108_aa	-	 hypothetical protein	
contig_155057	gene_88_contig_155057	63522	65726	734_aa	-	DNA polymerase family B	DNA polymerase family B
contig_155057	gene_89_contig_155057	65762	65998	78_aa	-	hypothetical protein	
contig_155057	gene_90_contig_155057	66119	67264	381_aa	-	hypothetical protein	
contig_155057	gene_91_contig_155057	67254	67571	105_aa	-	hypothetical protein	
contig_155057	gene_92_contig_155057	67695	68537	280_aa	-	hypothetical protein	
contig_155057	gene_93_contig_155057	68534	68773	79_aa	-	hypothetical protein	
contig_155057	gene_94_contig_155057	68773	69708	311_aa	-	hypothetical protein	
contig_155057	gene_95_contig_155057	69751	71241	496_aa	-	hypothetical protein	
contig_155057	gene_96_contig_155057	71225	71470	81_aa	-	hypothetical protein	
contig_155057	gene_97_contig_155057	71467	72681	404_aa	-	hypothetical protein	
contig_155057	gene_98_contig_155057	72734	73657	307_aa	-	hypothetical protein	
contig_155057	gene_99_contig_155057	73775	73990	71_aa	-	hypothetical protein	
contig_155057	gene_100_contig_155057	74112	74513	133_aa	-	hypothetical protein	
contig_155057	gene_101_contig_155057	74510	74677	55_aa	-	hypothetical protein	
contig_155057	gene_102_contig_155057	74674	74847	57_aa	-	hypothetical protein	
contig_155057	gene_103_contig_155057	74850	75077	75_aa	-	hypothetical protein	
contig_155057	gene_104_contig_155057	75128	75535	135_aa	-	hypothetical protein	
contig_155057	gene_105_contig_155057	75579	75779	66_aa	-	hypothetical protein	
contig_155057	gene_106_contig_155057	75812	76486	224_aa	-	hypothetical protein	
contig_155057	gene_107_contig_155057	76736	77365	209_aa	-	hypothetical protein	
contig_155057	gene_108_contig_155057	77476	78804	442_aa	-	hypothetical protein	
contig_155057	gene_109_contig_155057	78795	79556	253_aa	-	hypothetical protein	
contig_155057	gene_110_contig_155057	79553	79909	118_aa	-	hypothetical protein	
contig_155057	gene_111_contig_155057	80201	80863	220_aa	-	hypothetical protein	
contig_155057	gene_112_contig_155057	81036	81344	102_aa	-	hypothetical protein	
contig_155057	gene_113_contig_155057	81347	81763	138_aa	-	hypothetical protein	
contig_155057	gene_114_contig_155057	82209	82394	61_aa	-	hypothetical protein	
contig_155057	gene_115_contig_155057	82456	82968	170_aa	-	hypothetical protein	
contig_155057	gene_116_contig_155057	82952	83113	53_aa	-	hypothetical protein	
contig_155057	gene_117_contig_155057	83110	83388	92_aa	-	hypothetical protein	
contig_155057	gene_118_contig_155057	83385	83651	88_aa	-	hypothetical protein	
contig_155057	gene_119_contig_155057	83648	83935	95_aa	-	hypothetical protein	
contig_155057	gene_120_contig_155057	83935	84477	180_aa	-	hypothetical protein	
contig_155057	gene_121_contig_155057	84541	84777	78_aa	-	hypothetical protein	
contig_155057	gene_122_contig_155057	84774	84935	53_aa	-	hypothetical protein	
contig_155057	gene_123_contig_155057	85107	85223	38_aa	-	hypothetical protein	
contig_155057	gene_124_contig_155057	85223	85351	42_aa	-	hypothetical protein	
contig_155057	gene_125_contig_155057	85348	85803	151_aa	-	hypothetical protein	
contig_155057	gene_126_contig_155057	85800	86090	96_aa	-	hypothetical protein	
contig_155057	gene_127_contig_155057	86087	86386	99_aa	-	hypothetical protein	
contig_155057	gene_128_contig_155057	86383	86751	122_aa	-	hypothetical protein	
contig_155057	gene_129_contig_155057	86748	86900	50_aa	-	hypothetical protein	
contig_155057	gene_130_contig_155057	86963	87271	102_aa	-	hypothetical protein	
contig_155057	gene_131_contig_155057	87268	87573	101_aa	-	hypothetical protein	
contig_155057	gene_132_contig_155057	87579	87863	94_aa	-	hypothetical protein	
contig_155057	gene_133_contig_155057	87860	88075	71_aa	-	hypothetical protein	
contig_155057	gene_134_contig_155057	88167	88415	82_aa	-	hypothetical protein	
contig_155057	gene_135_contig_155057	88412	88711	99_aa	-	hypothetical protein	
contig_155057	gene_136_contig_155057	88708	89061	117_aa	-	hypothetical protein	
contig_155057	gene_137_contig_155057	89100	89624	174_aa	-	hypothetical protein	
contig_155057	gene_138_contig_155057	89767	89997	76_aa	-	hypothetical protein	
contig_155057	gene_139_contig_155057	89997	90260	87_aa	+	hypothetical protein	
contig_155057	gene_140_contig_155057	90752	90940	62_aa	-	hypothetical protein	
contig_155057	gene_141_contig_155057	90933	91214	93_aa	-	hypothetical protein	
contig_155057	gene_142_contig_155057	92671	92790	39_aa	+	hypothetical protein	
contig_155057	gene_143_contig_155057	92796	92957	53_aa	+	hypothetical protein	
contig_155057	gene_144_contig_155057	93410	93556	48_aa	+	hypothetical protein	
contig_155057	gene_145_contig_155057	93976	95082	368_aa	+	hypothetical protein	
contig_172037	gene_1_contig_172037	469	963	164_aa	-	 hypothetical protein	
contig_172037	gene_2_contig_172037	2106	2351	81_aa	+	 hypothetical protein	
contig_172037	gene_3_contig_172037	2624	2821	65_aa	-	 hypothetical protein	
contig_172037	gene_4_contig_172037	3287	3622	111_aa	+	 hypothetical protein	
contig_172037	gene_5_contig_172037	4460	4975	171_aa	-	 hypothetical protein	
contig_172037	gene_6_contig_172037	5291	6568	425_aa	-	terminase	terminase
contig_172037	gene_7_contig_172037	6917	8275	452_aa	-	UvrD-like helicase/homing endonuclease	UvrD-like helicase/homing endonuclease
contig_172037	gene_8_contig_172037	8569	10050	493_aa	+	phage portal protein	phage portal protein
contig_172037	gene_9_contig_172037	10077	10478	133_aa	+	 hypothetical protein	
contig_172037	gene_10_contig_172037	10478	11410	310_aa	+	 hypothetical protein	
contig_172037	gene_11_contig_172037	11415	12869	484_aa	+	phage prohead protease	phage prohead protease
contig_172037	gene_12_contig_172037	12881	13333	150_aa	+	 hypothetical protein	
contig_172037	gene_13_contig_172037	13350	14261	303_aa	+	major capsid protein	major capsid protein
contig_172037	gene_14_contig_172037	14438	14764	108_aa	+	 hypothetical protein	
contig_172037	gene_15_contig_172037	14761	15213	150_aa	+	 hypothetical protein	
contig_172037	gene_16_contig_172037	15219	16691	490_aa	+	 hypothetical protein	
contig_172037	gene_17_contig_172037	16868	17062	64_aa	+	 hypothetical protein	
contig_172037	gene_18_contig_172037	17055	17207	50_aa	+	 hypothetical protein	
contig_172037	gene_19_contig_172037	17278	17856	192_aa	+	 hypothetical protein	
contig_172037	gene_20_contig_172037	18015	18593	192_aa	+	 hypothetical protein	
contig_172037	gene_21_contig_172037	18593	19645	350_aa	+	 hypothetical protein	
contig_172037	gene_22_contig_172037	19733	20737	334_aa	+	 hypothetical protein	
contig_172037	gene_23_contig_172037	21095	21460	121_aa	+	 hypothetical protein	
contig_172037	gene_24_contig_172037	21471	21644	57_aa	+	 hypothetical protein	
contig_172037	gene_25_contig_172037	21619	21975	118_aa	+	 hypothetical protein	
contig_172037	gene_26_contig_172037	21981	22256	91_aa	+	 hypothetical protein	
contig_172037	gene_27_contig_172037	22296	25952	1218_aa	+	Phage-related minor tail protein	
contig_172037	gene_28_contig_172037	25960	32787	2275_aa	+	 hypothetical protein	
contig_172037	gene_29_contig_172037	32869	33588	239_aa	-	ERCC4-type nuclease, gene20	ERCC4-type nuclease, gene20
contig_172037	gene_30_contig_172037	33862	34878	338_aa	-	Primase AE_Prim_S, gene21	Primase AE_Prim_S, gene21
contig_172037	gene_31_contig_172037	35008	35895	295_aa	-	Cas4_I-A_I-B_I-C_I-D_II-B Superfamily, gene24	Cas4_I-A_I-B_I-C_I-D_II-B Superfamily, gene24
contig_172037	gene_32_contig_172037	35942	38182	746_aa	-	DNA polymerase family B	DNA polymerase family B
contig_172037	gene_33_contig_172037	38226	38546	106_aa	-	Homeodomain-like domain 	
contig_172037	gene_34_contig_172037	38849	39730	293_aa	-	DNA methylase	
contig_172037	gene_35_contig_172037	40002	40877	291_aa	-	 hypothetical protein	
contig_172037	gene_36_contig_172037	40874	41122	82_aa	-	 hypothetical protein	
contig_172037	gene_37_contig_172037	41127	42050	307_aa	-	radB-like recombinase	radB-like recombinase
contig_172037	gene_38_contig_172037	42050	43333	427_aa	-	putative DNA-binding protein, gene29	putative DNA-binding protein, gene29
contig_172037	gene_39_contig_172037	43315	44238	307_aa	-	Replication factor C small subunit, gene30	Replication factor C small subunit, gene30
contig_172037	gene_40_contig_172037	44683	44808	41_aa	-	 hypothetical protein	
contig_172037	gene_41_contig_172037	44834	45181	115_aa	-	 hypothetical protein	
contig_172037	gene_42_contig_172037	45178	45393	71_aa	-	 hypothetical protein	
contig_172037	gene_43_contig_172037	45410	45607	65_aa	-	 hypothetical protein	
contig_172037	gene_44_contig_172037	45743	46108	121_aa	-	 hypothetical protein	
contig_172037	gene_45_contig_172037	46752	47444	230_aa	-	 hypothetical protein	
contig_172037	gene_46_contig_172037	47441	47695	84_aa	-	 hypothetical protein	
contig_172037	gene_47_contig_172037	47692	48336	214_aa	-	DUF1804 Protein of unknown function (DUF1804)	DUF1804 Protein of unknown function (DUF1804)
contig_172037	gene_48_contig_172037	48502	49857	451_aa	-	DNA replicative helicase, gene19	DNA replicative helicase, gene19
contig_172037	gene_49_contig_172037	49894	50454	186_aa	-	 hypothetical protein	
contig_172037	gene_50_contig_172037	50572	51249	225_aa	-	 hypothetical protein	
contig_172037	gene_51_contig_172037	52236	52523	95_aa	-	 hypothetical protein	
contig_172037	gene_52_contig_172037	52526	53107	193_aa	-	 hypothetical protein	
contig_172037	gene_53_contig_172037	53153	53536	127_aa	-	 hypothetical protein	
contig_172037	gene_54_contig_172037	53539	54369	276_aa	-	 hypothetical protein	
contig_172037	gene_55_contig_172037	54479	54679	66_aa	-	 hypothetical protein	
contig_172037	gene_56_contig_172037	54936	55349	137_aa	-	 hypothetical protein	
contig_172037	gene_57_contig_172037	55472	56539	355_aa	-	Domain of unknown function (DUF1738)	
contig_172037	gene_58_contig_172037	56612	57013	133_aa	-	 hypothetical protein	
contig_172037	gene_59_contig_172037	57006	57296	96_aa	-	 hypothetical protein	
contig_172037	gene_60_contig_172037	57289	57447	52_aa	-	 hypothetical protein	
contig_172037	gene_61_contig_172037	57465	57719	84_aa	-	 hypothetical protein	
contig_172037	gene_62_contig_172037	58396	58683	95_aa	-	 hypothetical protein	
contig_172037	gene_63_contig_172037	59387	59746	119_aa	-	 hypothetical protein	
contig_172037	gene_64_contig_172037	59746	60060	104_aa	-	 hypothetical protein	
contig_172037	gene_65_contig_172037	60656	61117	153_aa	-	 hypothetical protein	
766270197_ext	gene_1_766270197_ext	56	1540	494_aa	-	terminase	terminase
766270197_ext	gene_2_766270197_ext	1966	3429	487_aa	-	UvrD-like helicase/homing endonuclease	UvrD-like helicase/homing endonuclease
766270197_ext	gene_3_766270197_ext	3723	3992	89_aa	+	 hypothetical protein	
766270197_ext	gene_4_766270197_ext	4006	4242	78_aa	+	 hypothetical protein	
766270197_ext	gene_5_766270197_ext	4268	5665	465_aa	+	phage portal protein	phage portal protein
766270197_ext	gene_6_766270197_ext	5658	6011	117_aa	+	 hypothetical protein	
766270197_ext	gene_7_766270197_ext	5995	7497	500_aa	+	 hypothetical protein	
766270197_ext	gene_8_766270197_ext	7506	7937	143_aa	+	Acetyltransferase (GNAT) domain	
766270197_ext	gene_9_766270197_ext	7942	9831	629_aa	+	phage prohead protease	phage prohead protease
766270197_ext	gene_10_766270197_ext	9833	10255	140_aa	+	 hypothetical protein	
766270197_ext	gene_11_766270197_ext	10260	11180	306_aa	+	major capsid protein	major capsid protein
766270197_ext	gene_12_766270197_ext	11219	11650	143_aa	+	 hypothetical protein	
766270197_ext	gene_13_766270197_ext	11662	12018	118_aa	+	 hypothetical protein	
766270197_ext	gene_14_766270197_ext	11990	12421	143_aa	+	 hypothetical protein	
766270197_ext	gene_15_766270197_ext	12439	14541	700_aa	+	 hypothetical protein	
766270197_ext	gene_16_766270197_ext	14546	14725	59_aa	+	 hypothetical protein	
766270197_ext	gene_17_766270197_ext	14722	14892	56_aa	+	 hypothetical protein	
766270197_ext	gene_18_766270197_ext	14898	15092	64_aa	+	 hypothetical protein	
766270197_ext	gene_19_766270197_ext	15145	15681	178_aa	+	 hypothetical protein	
766270197_ext	gene_20_766270197_ext	15691	16215	174_aa	+	 hypothetical protein	
766270197_ext	gene_21_766270197_ext	16215	17288	357_aa	+	 hypothetical protein	
766270197_ext	gene_22_766270197_ext	17349	18380	343_aa	+	 hypothetical protein	
766270197_ext	gene_23_766270197_ext	18390	18566	58_aa	+	 hypothetical protein	
766270197_ext	gene_24_766270197_ext	18566	18778	70_aa	+	 hypothetical protein	
766270197_ext	gene_25_766270197_ext	18792	18902	36_aa	+	 hypothetical protein	
766270197_ext	gene_26_766270197_ext	18877	19236	119_aa	+	 hypothetical protein	
766270197_ext	gene_27_766270197_ext	19251	19532	93_aa	+	 hypothetical protein	
766270197_ext	gene_28_766270197_ext	19529	22324	931_aa	+	Phage-related minor tail protein	
766270197_ext	gene_29_766270197_ext	22329	29801	2490_aa	+	 hypothetical protein	
766270197_ext	gene_30_766270197_ext	29785	30507	240_aa	-	ERCC4-type nuclease, gene20	ERCC4-type nuclease, gene20
766270197_ext	gene_31_766270197_ext	30640	31656	338_aa	-	Primase AE_Prim_S, gene21	Primase AE_Prim_S, gene21
766270197_ext	gene_32_766270197_ext	31660	31821	53_aa	-	 hypothetical protein	
766270197_ext	gene_33_766270197_ext	31818	32669	283_aa	-	Cas4_I-A_I-B_I-C_I-D_II-B Superfamily, gene24	Cas4_I-A_I-B_I-C_I-D_II-B Superfamily, gene24
766270197_ext	gene_34_766270197_ext	32803	33126	107_aa	-	 hypothetical protein	
766270197_ext	gene_35_766270197_ext	33137	35353	738_aa	-	DNA polymerase family B	DNA polymerase family B
766270197_ext	gene_36_766270197_ext	35595	35885	96_aa	-	 hypothetical protein	
766270197_ext	gene_37_766270197_ext	35892	36716	274_aa	-	 hypothetical protein	
766270197_ext	gene_38_766270197_ext	36721	37677	318_aa	-	radB-like recombinase	radB-like recombinase
766270197_ext	gene_39_766270197_ext	37674	38888	404_aa	-	putative DNA-binding protein, gene29	putative DNA-binding protein, gene29
766270197_ext	gene_40_766270197_ext	38935	39855	306_aa	-	Replication factor C small subunit, gene30	Replication factor C small subunit, gene30
766270197_ext	gene_41_766270197_ext	39855	40148	97_aa	-	 hypothetical protein	
766270197_ext	gene_42_766270197_ext	40148	40402	84_aa	-	 hypothetical protein	
766270197_ext	gene_43_766270197_ext	40473	40937	154_aa	-	 hypothetical protein	
766270197_ext	gene_44_766270197_ext	41157	41816	219_aa	-	 hypothetical protein	
766270197_ext	gene_45_766270197_ext	41813	42034	73_aa	-	 hypothetical protein	
766270197_ext	gene_46_766270197_ext	42073	42717	214_aa	-	DUF1804 Protein of unknown function (DUF1804)	DUF1804 Protein of unknown function (DUF1804)
766270197_ext	gene_47_766270197_ext	42773	43045	90_aa	-	 hypothetical protein	
766270197_ext	gene_48_766270197_ext	43268	44602	444_aa	-	DNA replicative helicase, gene19	DNA replicative helicase, gene19
766270197_ext	gene_49_766270197_ext	44599	45420	273_aa	-	 hypothetical protein	
766270197_ext	gene_50_766270197_ext	45417	45869	150_aa	-	 hypothetical protein	
766270197_ext	gene_51_766270197_ext	46085	46954	289_aa	-	 hypothetical protein	
766270197_ext	gene_52_766270197_ext	46951	47127	58_aa	-	 hypothetical protein	
766270197_ext	gene_53_766270197_ext	47130	47444	104_aa	-	 hypothetical protein	
766270197_ext	gene_54_766270197_ext	47447	47638	63_aa	-	 hypothetical protein	
766270197_ext	gene_55_766270197_ext	47641	47955	104_aa	-	 hypothetical protein	
766270197_ext	gene_56_766270197_ext	47957	48160	67_aa	-	 hypothetical protein	
766270197_ext	gene_57_766270197_ext	48754	49254	166_aa	-	 hypothetical protein	
766270197_ext	gene_58_766270197_ext	49258	49485	75_aa	-	 hypothetical protein	
766270197_ext	gene_59_766270197_ext	49488	49793	101_aa	-	 hypothetical protein	
766270197_ext	gene_60_766270197_ext	49786	49998	70_aa	-	 hypothetical protein	
766270197_ext	gene_61_766270197_ext	50001	50549	182_aa	-	 hypothetical protein	
766270197_ext	gene_62_766270197_ext	50552	50728	58_aa	-	 hypothetical protein	
766270197_ext	gene_63_766270197_ext	50763	51503	246_aa	-	 hypothetical protein	
766270197_ext	gene_64_766270197_ext	51481	51687	68_aa	-	 hypothetical protein	
766270197_ext	gene_65_766270197_ext	51689	52129	146_aa	-	 hypothetical protein	
766270197_ext	gene_66_766270197_ext	52131	52331	66_aa	-	 hypothetical protein	
766270197_ext	gene_67_766270197_ext	52333	52797	154_aa	-	 hypothetical protein	
766270197_ext	gene_68_766270197_ext	52790	52996	68_aa	-	 hypothetical protein	
766270197_ext	gene_69_766270197_ext	52993	53283	96_aa	-	 hypothetical protein	
766270197_ext	gene_70_766270197_ext	53280	53444	54_aa	-	 hypothetical protein	
766270197_ext	gene_71_766270197_ext	53447	53734	95_aa	-	 hypothetical protein	
766270197_ext	gene_72_766270197_ext	53734	54153	139_aa	-	 hypothetical protein	
766270197_ext	gene_73_766270197_ext	54150	54458	102_aa	-	 hypothetical protein	
766270197_ext	gene_74_766270197_ext	54513	54854	113_aa	-	 hypothetical protein	
766270197_ext	gene_75_766270197_ext	54854	55129	91_aa	-	 hypothetical protein	
766270197_ext	gene_76_766270197_ext	55384	55668	94_aa	-	 hypothetical protein	
766270197_ext	gene_77_766270197_ext	56206	56646	146_aa	-	 hypothetical protein	
766270197_ext	gene_78_766270197_ext	56937	57125	62_aa	-	 hypothetical protein	
766270197_ext	gene_79_766270197_ext	57230	57442	70_aa	-	 hypothetical protein	
766270197_ext	gene_80_766270197_ext	57443	57601	52_aa	-	 hypothetical protein	
775118401_ext	gene_1_775118401_ext	434	580	48_aa	+	 hypothetical protein	
775118401_ext	gene_2_775118401_ext	896	1648	250_aa	+	 hypothetical protein	
775118401_ext	gene_3_775118401_ext	1943	2335	130_aa	-	 hypothetical protein	
775118401_ext	gene_4_775118401_ext	2325	3824	499_aa	-	terminase	terminase
775118401_ext	gene_5_775118401_ext	4022	5485	487_aa	-	UvrD-like helicase/homing endonuclease	UvrD-like helicase/homing endonuclease
775118401_ext	gene_6_775118401_ext	5617	5751	44_aa	+	 hypothetical protein	
775118401_ext	gene_7_775118401_ext	5748	7172	474_aa	+	phage portal protein	phage portal protein
775118401_ext	gene_8_775118401_ext	7200	8126	308_aa	+	 hypothetical protein	
775118401_ext	gene_9_775118401_ext	8245	10170	641_aa	+	phage prohead protease	phage prohead protease
775118401_ext	gene_10_775118401_ext	10172	10585	137_aa	+	 hypothetical protein	
775118401_ext	gene_11_775118401_ext	10587	11513	308_aa	+	major capsid protein	major capsid protein
775118401_ext	gene_12_775118401_ext	11519	11935	138_aa	+	 hypothetical protein	
775118401_ext	gene_13_775118401_ext	11919	12353	144_aa	+	 hypothetical protein	
775118401_ext	gene_14_775118401_ext	12356	17758	1800_aa	+	 hypothetical protein	
775118401_ext	gene_15_775118401_ext	17746	17895	49_aa	+	 hypothetical protein	
775118401_ext	gene_16_775118401_ext	17895	20585	896_aa	+	G8 domain	
775118401_ext	gene_17_775118401_ext	20585	22807	740_aa	+	 hypothetical protein	
775118401_ext	gene_18_775118401_ext	22816	23709	297_aa	+	 hypothetical protein	
775118401_ext	gene_19_775118401_ext	23712	24032	106_aa	+	 hypothetical protein	
775118401_ext	gene_20_775118401_ext	24065	24283	72_aa	+	 hypothetical protein	
775118401_ext	gene_21_775118401_ext	24361	24528	55_aa	+	 hypothetical protein	
775118401_ext	gene_22_775118401_ext	24534	24896	120_aa	+	SAP domain	
775118401_ext	gene_23_775118401_ext	24889	25062	57_aa	+	 hypothetical protein	
775118401_ext	gene_24_775118401_ext	25037	26044	335_aa	+	 hypothetical protein	
775118401_ext	gene_25_775118401_ext	26050	26706	218_aa	+	 hypothetical protein	
775118401_ext	gene_26_775118401_ext	26708	27769	353_aa	+	 hypothetical protein	
775118401_ext	gene_27_775118401_ext	27819	29450	543_aa	+	 hypothetical protein	
775118401_ext	gene_28_775118401_ext	29462	29557	31_aa	+	 hypothetical protein	
775118401_ext	gene_29_775118401_ext	29689	30045	118_aa	+	 hypothetical protein	
775118401_ext	gene_30_775118401_ext	30060	30359	99_aa	+	 hypothetical protein	
775118401_ext	gene_31_775118401_ext	30359	33205	948_aa	+	Phage-related minor tail protein	
