chr,orf_name,start,end,length,strand,orf_annotation,conserved_proteins,col,gene_type,cex,lty,lwd,pch
contig_155773,gene_23_contig_155773,10188,10727,179_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_24_contig_155773,10724,11290,188_aa,+,ThiF family protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_25_contig_155773,11287,11394,35_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_26_contig_155773,11381,12109,242_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_27_contig_155773,12148,12462,104_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_28_contig_155773,12441,12731,96_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_29_contig_155773,12724,12963,79_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_30_contig_155773,12963,13157,64_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_31_contig_155773,13163,13471,102_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_32_contig_155773,13461,13688,75_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_33_contig_155773,13688,14098,136_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_34_contig_155773,14058,14891,277_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_35_contig_155773,15048,15206,52_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_36_contig_155773,15211,15435,74_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_37_contig_155773,15432,16985,517_aa,+,"GroupA: Archaeal cpn60 chaperonin family (""gene16"", ""thermosome""); other groups: GroEL_like type I chaperonin (bacterial and organelar)","GroupA: Archaeal cpn60 chaperonin family (""gene16"", ""thermosome""); other groups: GroEL_like type I chaperonin (bacterial and organelar)",Red,arrows,1,1,1,8
contig_155773,gene_38_contig_155773,17051,17968,305_aa,+,"Replication factor C small subunit, “gene30”","Replication factor C small subunit, “gene30”",whitesmoke,arrows,1,1,1,8
contig_155773,gene_39_contig_155773,17941,19233,430_aa,+,"putative DNA-binding protein, ""gene29""","putative DNA-binding protein, ""gene29""",whitesmoke,arrows,1,1,1,8
contig_155773,gene_40_contig_155773,19239,19391,50_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_41_contig_155773,19460,19708,82_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_42_contig_155773,19701,20618,305_aa,+,radB-like recombinase,radB-like recombinase,whitesmoke,arrows,1,1,1,8
contig_155773,gene_43_contig_155773,20676,21449,257_aa,+,"DNA polymerase sliding clamp, ""gene27""","DNA polymerase sliding clamp, ""gene27""",whitesmoke,arrows,1,1,1,8
contig_155773,gene_44_contig_155773,21451,21642,63_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_45_contig_155773,21639,21797,52_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_46_contig_155773,21794,21949,51_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_47_contig_155773,21942,22295,117_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_48_contig_155773,22434,22673,79_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_49_contig_155773,22645,22872,75_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_50_contig_155773,22853,25306,817_aa,+,DNA polymerase family B,DNA polymerase family B,Blue,arrows,1,1,1,8
contig_155773,gene_51_contig_155773,25306,25788,160_aa,+,Protein of unknown function (DUF3072),,grey35,arrows,1,1,1,8
contig_155773,gene_52_contig_155773,25785,26699,304_aa,+,"Cas4_I-A_I-B_I-C_I-D_II-B Superfamily, “gene24”","Cas4_I-A_I-B_I-C_I-D_II-B Superfamily, “gene24”",whitesmoke,arrows,1,1,1,8
contig_155773,gene_53_contig_155773,26686,27105,139_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_54_contig_155773,27166,28215,349_aa,+,"Primase AE_Prim_S, “gene21”","Primase AE_Prim_S, “gene21”",whitesmoke,arrows,1,1,1,8
contig_155773,gene_55_contig_155773,28216,28902,228_aa,+,"ERCC4-type nuclease, “gene20”","ERCC4-type nuclease, “gene20”",whitesmoke,arrows,1,1,1,8
contig_155773,gene_56_contig_155773,28902,30416,504_aa,+,"DNA replicative helicase, “gene19”","DNA replicative helicase, “gene19”",whitesmoke,arrows,1,1,1,8
contig_155773,gene_57_contig_155773,30406,30597,63_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_58_contig_155773,30590,31183,197_aa,+,"DnaQ-like 3'-5' exonuclease, ""gene18""","DnaQ-like 3'-5' exonuclease, ""gene18""",whitesmoke,arrows,1,1,1,8
contig_155773,gene_59_contig_155773,31406,32041,211_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_60_contig_155773,32050,32187,45_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_61_contig_155773,32188,32589,133_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_62_contig_155773,32582,32872,96_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_63_contig_155773,32869,33078,69_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_64_contig_155773,33117,34928,603_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_65_contig_155773,34930,35271,113_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_66_contig_155773,35268,42320,2350_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_67_contig_155773,42313,43338,341_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_68_contig_155773,43344,44036,230_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_69_contig_155773,44038,46008,656_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_70_contig_155773,46189,46563,124_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_71_contig_155773,46609,48708,699_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_72_contig_155773,48713,49297,194_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_73_contig_155773,49297,50934,545_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_74_contig_155773,50931,51143,70_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_75_contig_155773,51143,52132,329_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_76_contig_155773,52137,52505,122_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_77_contig_155773,52515,52739,74_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_78_contig_155773,52736,53923,395_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_79_contig_155773,53925,54554,209_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_80_contig_155773,54560,54790,76_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_81_contig_155773,54787,55344,185_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_82_contig_155773,55334,56419,361_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_83_contig_155773,56445,59102,885_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_84_contig_155773,59114,59581,155_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_85_contig_155773,59634,59945,103_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_86_contig_155773,59955,60479,174_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_87_contig_155773,60523,61734,403_aa,-,major capsid protein,major capsid protein,whitesmoke,arrows,1,1,1,8
contig_155773,gene_88_contig_155773,61737,62852,371_aa,-,phage prohead protease,phage prohead protease,whitesmoke,arrows,1,1,1,8
contig_155773,gene_89_contig_155773,62920,64959,679_aa,-,ATP-dependent DNA ligase,ATP-dependent DNA ligase,whitesmoke,arrows,1,1,1,8
contig_155773,gene_90_contig_155773,65028,65486,152_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_91_contig_155773,65483,65710,75_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_92_contig_155773,65713,66984,423_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_93_contig_155773,66987,67211,74_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_94_contig_155773,67213,70212,999_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_95_contig_155773,70199,71833,544_aa,-,phage portal protein,phage portal protein,whitesmoke,arrows,1,1,1,8
contig_155773,gene_96_contig_155773,71836,73230,464_aa,-,UvrD-like helicase/homing endonuclease,UvrD-like helicase/homing endonuclease,whitesmoke,arrows,1,1,1,8
contig_155773,gene_97_contig_155773,73205,74617,470_aa,-,terminase,terminase,whitesmoke,arrows,1,1,1,8
contig_155773,gene_98_contig_155773,74619,75035,138_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_99_contig_155773,75032,77479,815_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_100_contig_155773,77479,79140,553_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_101_contig_155773,79145,79330,61_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_102_contig_155773,79380,79793,137_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_103_contig_155773,79790,81394,534_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_104_contig_155773,81396,81620,74_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_105_contig_155773,81622,82119,165_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_106_contig_155773,82116,82619,167_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_107_contig_155773,82642,83094,150_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_108_contig_155773,83091,83753,220_aa,-,DUF1804 Protein of unknown function (DUF1804) ??,DUF1804 Protein of unknown function (DUF1804) ??,grey35,arrows,1,1,1,8
contig_155773,gene_109_contig_155773,83750,84958,402_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
