	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
9068	gene_20_SAMEA2621085_65	gene_32_contig_154566	55.34	206	84	5	1	200	1	204	9.14e-66	197.0
9236	gene_20_contig_156409	gene_64_SAMEA2621085_65	50.655	229	110	2	2	229	3	229	3.27e-75	223.0
9237	gene_20_contig_156409	gene_60_SAMEA2621061_122	50.0	228	111	2	2	228	3	228	8.62e-75	223.0
9501	gene_21_SAMEA2621085_65	gene_92_SAMEA2621151_40	59.524	84	32	1	1	84	1	82	3.34e-32	103.0
9889	gene_22_SAMEA2621085_65	gene_18_SAMEA2621061_122	67.907	215	69	0	5	219	16	230	3.9e-115	325.0
9890	gene_22_SAMEA2621085_65	gene_30_contig_154566	66.21	219	74	0	5	223	1	219	8.41e-112	315.0
9891	gene_22_SAMEA2621085_65	gene_91_SAMEA2621151_40	67.0	200	66	0	18	217	2	201	2.7e-108	306.0
9893	gene_22_SAMEA2621085_65	gene_98_contig_155688	62.385	218	81	1	3	219	4	221	8.13e-105	298.0
9894	gene_22_SAMEA2621085_65	gene_19_SAMEA2619923_17	56.221	217	94	1	2	218	12	227	1.52e-90	263.0
9895	gene_22_SAMEA2621085_65	gene_75_contig_156409	51.22	205	98	2	22	225	2	205	3.51e-78	230.0
9953	gene_22_contig_154566	gene_28_SAMEA2621061_122	52.679	112	52	1	1	111	1	112	7.95e-39	122.0
10197	gene_23_SAMEA2619923_17	gene_94_contig_155688	71.869	487	136	1	7	493	5	490	0.0	757.0
10199	gene_23_SAMEA2619923_17	gene_23_SAMEA2621061_122	69.433	494	147	3	2	495	3	492	0.0	746.0
10200	gene_23_SAMEA2619923_17	gene_27_SAMEA2621085_65	68.507	489	150	2	7	495	6	490	0.0	723.0
10201	gene_23_SAMEA2619923_17	gene_86_SAMEA2621151_40	66.392	485	162	1	1	485	1	484	0.0	707.0
10202	gene_23_SAMEA2619923_17	gene_25_contig_154566	67.161	472	154	1	6	477	5	475	0.0	691.0
10204	gene_23_SAMEA2619923_17	gene_80_contig_156409	50.323	465	219	4	7	470	5	458	1.55e-177	503.0
10254	gene_23_SAMEA2621061_122	gene_94_contig_155688	79.022	491	100	1	6	493	3	493	0.0	843.0
10255	gene_23_SAMEA2621061_122	gene_27_SAMEA2621085_65	76.025	488	117	0	6	493	4	491	0.0	805.0
10256	gene_23_SAMEA2621061_122	gene_86_SAMEA2621151_40	73.727	491	128	1	3	493	2	491	0.0	781.0
10257	gene_23_SAMEA2621061_122	gene_25_contig_154566	74.004	477	124	0	5	481	3	479	0.0	775.0
10258	gene_23_SAMEA2621061_122	gene_23_SAMEA2619923_17	69.433	494	147	3	3	492	2	495	0.0	746.0
10259	gene_23_SAMEA2621061_122	gene_80_contig_156409	51.483	472	217	4	7	477	4	464	1.5e-177	503.0
10336	gene_23_contig_154566	gene_27_SAMEA2621061_122	70.451	599	144	7	4	580	7	594	0.0	867.0
10337	gene_23_contig_154566	gene_84_SAMEA2621151_40	74.061	559	126	5	27	580	1	545	0.0	861.0
10338	gene_23_contig_154566	gene_29_SAMEA2621085_65	71.233	584	162	4	2	580	4	586	0.0	834.0
10339	gene_23_contig_154566	gene_89_contig_155688	65.541	592	191	5	1	579	1	592	0.0	800.0
10340	gene_23_contig_154566	gene_25_SAMEA2619923_17	65.424	590	186	7	1	580	1	582	0.0	780.0
10341	gene_23_contig_154566	gene_82_contig_156409	56.457	604	223	9	1	574	1	594	0.0	685.0
10704	gene_24_SAMEA2621085_65	gene_20_SAMEA2621061_122	51.701	147	64	3	1	144	1	143	2.74e-27	110.0
10727	gene_24_SAMEA2621151_40	gene_83_SAMEA2621061_122	58.721	172	62	1	1	172	1	163	2.53e-73	215.0
10728	gene_24_SAMEA2621151_40	gene_63_contig_154566	57.225	173	65	1	1	173	1	164	8.64e-71	207.0
10730	gene_24_SAMEA2621151_40	gene_41_contig_156409	53.514	185	77	3	1	176	1	185	1.5e-63	190.0
10731	gene_24_SAMEA2621151_40	gene_82_SAMEA2619923_17	57.419	155	55	2	25	177	1	146	1.43e-61	184.0
10732	gene_24_SAMEA2621151_40	gene_24_contig_155688	56.863	153	57	1	25	177	1	144	2.29e-59	178.0
10845	gene_24_contig_155688	gene_82_SAMEA2619923_17	75.342	146	34	1	1	144	1	146	4.69e-79	226.0
10846	gene_24_contig_155688	gene_83_SAMEA2621061_122	76.259	139	33	0	1	139	25	163	4.84e-78	225.0
10847	gene_24_contig_155688	gene_63_contig_154566	75.0	140	35	0	1	140	25	164	9.92e-77	221.0
10849	gene_24_contig_155688	gene_94_SAMEA2621085_65	64.583	144	47	2	1	140	25	168	2.59e-61	182.0
10850	gene_24_contig_155688	gene_24_SAMEA2621151_40	56.863	153	57	1	1	144	25	177	1.87e-59	178.0
10851	gene_24_contig_155688	gene_41_contig_156409	55.975	159	52	3	1	141	25	183	7.18e-55	167.0
11024	gene_25_SAMEA2619923_17	gene_27_SAMEA2621061_122	62.418	612	182	9	1	582	1	594	0.0	790.0
11025	gene_25_SAMEA2619923_17	gene_23_contig_154566	64.846	586	196	6	1	582	1	580	0.0	768.0
11026	gene_25_SAMEA2619923_17	gene_29_SAMEA2621085_65	62.415	588	213	5	1	582	1	586	0.0	762.0
11027	gene_25_SAMEA2619923_17	gene_84_SAMEA2621151_40	65.709	557	176	6	29	582	1	545	0.0	759.0
11028	gene_25_SAMEA2619923_17	gene_89_contig_155688	58.242	637	165	7	1	581	1	592	0.0	757.0
11029	gene_25_SAMEA2619923_17	gene_82_contig_156409	57.993	588	228	3	8	577	9	595	0.0	706.0
11122	gene_25_contig_154566	gene_86_SAMEA2621151_40	85.366	492	69	1	2	493	3	491	0.0	894.0
11123	gene_25_contig_154566	gene_27_SAMEA2621085_65	81.02	490	91	1	4	493	4	491	0.0	855.0
11124	gene_25_contig_154566	gene_23_SAMEA2621061_122	73.116	491	130	1	3	493	5	493	0.0	785.0
11125	gene_25_contig_154566	gene_94_contig_155688	73.482	494	124	2	4	493	3	493	0.0	779.0
11126	gene_25_contig_154566	gene_23_SAMEA2619923_17	65.644	489	166	2	5	491	6	494	0.0	693.0
11229	gene_25_contig_156409	gene_65_SAMEA2621061_122	55.0	80	34	1	48	127	23	100	2.13e-24	86.7
11434	gene_26_SAMEA2621061_122	gene_85_SAMEA2621151_40	55.348	374	167	0	33	406	20	393	5.18e-157	445.0
11435	gene_26_SAMEA2621061_122	gene_28_SAMEA2621085_65	54.642	377	171	0	34	410	8	384	6.03e-153	434.0
11914	gene_27_SAMEA2621061_122	gene_84_SAMEA2621151_40	73.675	566	126	5	31	594	1	545	0.0	866.0
11915	gene_27_SAMEA2621061_122	gene_23_contig_154566	71.429	588	157	4	7	594	4	580	0.0	848.0
