,Station,LONGITUDE,LATITUDE,Depth,Protocol Label,Fraction,RUN,Region,ENA-SAMPLE,genome_name,genome_group,variable,val
521,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,0.015346859782
553,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.0401806014512
559,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,0.233427009755
568,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,0.469561850357
580,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,11.6799311418
586,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,1.28697055177
601,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,0.0603658689916
611,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.0204401642014
615,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,0.440301134438
642,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,2.36315076582
653,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,0.996701865631
656,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,0.0970354365146
657,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,14.1744364188
670,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.0152754709105
685,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,84.2764220259
688,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,0.371320177477
716,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,0.0697951071819
741,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,3.93851412096
762,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.13300312454
765,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.123578434051
768,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,0.142742470815
769,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,8.59419805075
791,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.0460962180728
792,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,0.874659140425
829,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,18.4984646096
837,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,10.274848705
881,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,0.287538847762
894,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,0.497100427158
910,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,0.0751761483093
915,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,1.72757880988
926,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.0585531188134
943,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,120.914801054
947,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,0.0867369822086
950,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,2.07182532636
951,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,0.23148402366
957,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,0.907113726087
984,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,0.0635051894717
992,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,0.0215830432587
997,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.0178547538149
998,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,0.384762321952
1003,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,0.189152104813
1005,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.0343917140746
1014,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.108086156669
1019,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,6.00691577844
1022,Eilat_gDNA_24,,,5.0,Na,BACT,EG24,RS,Eilat_A_24,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,3.45185926316
1033,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,18.0045900999
1042,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,3.86656904067
1045,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,3.41426991292
1049,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,35.6773047962
1057,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,9.74811674918
1059,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,14.5098354852
1073,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,5.53174489518
1082,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,60.0914737721
1085,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,23.2246650727
1089,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,7.9215075251
1122,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,126.920338682
1125,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,23.3794052774
1134,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,36.5967962105
1140,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,12.6483215744
1166,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,7.60825601094
1169,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,10.8038069766
1185,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,15.7736769675
1196,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,50.1081951377
1205,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,8.26745779716
1215,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,9.75843272088
1220,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,6.57546910276
1221,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,25.2443151912
1247,Eilat_RNA_6,,,5.0,Na,RNA,ER06,RS,Eilat_A_6,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,154.612530408
1300,Eilat_RNA_12,,,5.0,Na,RNA,ER12,RS,Eilat_A_12,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,6.89247997189
1301,Eilat_RNA_12,,,5.0,Na,RNA,ER12,RS,Eilat_A_12,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,11.3867920815
1302,Eilat_RNA_12,,,5.0,Na,RNA,ER12,RS,Eilat_A_12,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,17.6841753797
1315,Eilat_RNA_12,,,5.0,Na,RNA,ER12,RS,Eilat_A_12,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,7.87354714636
1340,Eilat_RNA_12,,,5.0,Na,RNA,ER12,RS,Eilat_A_12,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,9.45256823401
1359,Eilat_RNA_12,,,5.0,Na,RNA,ER12,RS,Eilat_A_12,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,18.1061262512
1375,Eilat_RNA_12,,,5.0,Na,RNA,ER12,RS,Eilat_A_12,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,9.69610760725
1380,Eilat_RNA_12,,,5.0,Na,RNA,ER12,RS,Eilat_A_12,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,50.8418547116
1399,Eilat_RNA_12,,,5.0,Na,RNA,ER12,RS,Eilat_A_12,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,9.02801894501
1406,Eilat_RNA_12,,,5.0,Na,RNA,ER12,RS,Eilat_A_12,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,16.291812644
